,Day,BOS_AVG_Timestep,BOS_AVG_diurnal,BOS_AVG_ALPHA,BOS_AVG_BETA,BOS_AVG_A,BOS_AVG_CQY,BOS_AVG_CUE_24,BOS_AVG_DCG,BOS_AVG_g_S,BOS_AVG_g_C,BOS_AVG_P_NET,BOS_AVG_DCGR,BOS_AVG_DWCGR,BOS_AVG_DOP,BOS_AVG_DOC,BOS_AVG_VPD,BOS_AVG_DTR,BOS_AVG_DCO2C,BOS_AVG_DCO2P,BOS_AVG_DNC,BOS_AVG_DWC,BOS_TOT_Timestep,BOS_TOT_diurnal,BOS_TOT_ALPHA,BOS_TOT_BETA,BOS_TOT_A,BOS_TOT_CQY,BOS_TOT_CUE_24,BOS_TOT_DCG,BOS_TOT_g_S,BOS_TOT_g_C,BOS_TOT_P_NET,BOS_TOT_DCGR,BOS_TOT_DWCGR,BOS_TOT_DOP,BOS_TOT_DOC,BOS_TOT_VPD,BOS_TOT_DTR,BOS_TOT_DCO2C,BOS_TOT_DCO2P,BOS_TOT_DNC,BOS_TOT_DWC,Unnamed: 0_x,AMI_Timestep,AMI_Photoperiod,AMI_PPFD,AMI_alpha,AMI_beta,AMI_DCG,AMI_DOP,AMI_CGR,AMI_TEB,AMI_P_GROSS,AMI_P_NET,AMI_T_LIGHT,AMI_VP_SAT,AMI_VP_AIR,AMI_RH,AMI_VPD,AMI_g_S,AMI_g_C,AMI_DTR,AMI_g_A,Unnamed: 0_y,CAV_Timestep,CAV_ALPHA,CAV_BETA,CAV_A,CAV_CQY,CAV_CUE_24,CAV_DCG,CAV_CGR,CAV_TCB,CAV_TEB,CAV_VP_SAT,CAV_VP_AIR,CAV_VPD,CAV_P_GROSS,CAV_P_NET,CAV_g_S,CAV_g_A,CAV_g_C,CAV_DTR,CAV_T_LIGHT,CAV_RH,CAV_CO2,OBS_TEB,OBS_DTR,OBS_g_S,OBS_P_N
0,0,11.5,0.5,1.5003502069060306e-06,2.400560331049649e-06,4.230537846343208e-05,0.056743620273357,0.625,1.559928061183741e-06,3.21440287308392e-05,3.214316780758497e-05,0.0007550722465283,4.683956991114889e-05,0.0009367913982229,8.625454740438848e-05,0.0001150060632058,0.5787060519871957,0.0001435885975525,0.0001186314059048,0.000158175207873,7.96575799524358e-08,0.0010910926243624,276,12,3.600840496574473e-05,5.761344794519157e-05,0.0010153290831223,1.36184688656057,15.0,3.7438273468409785e-05,0.0007714566895401,0.000771436027382,0.0181217339166805,0.0011241496778675,0.0224829935573514,0.0020701091377053,0.0027601455169404,13.888945247692696,0.0034461263412617,0.0028471537417156,0.0037962049889542,1.911781918858459e-06,0.0261862229846978,0,1,12,314.54,0.0069186745653911,0.0,0.0940118355848797,0.1015327824316701,2.822869884148288,8.53,0.0,1.088099948899071,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.0463212840628792,0.0454786325991133,0.2031602209404673,2.5,0,0,0.0,0.0,0.0,0.056743620273357,0.625,0.0,0.0,0.0,0.0,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0,0.0,0.0,2.5,0.0,0.0,24.35105263,0.810470947,370,,,,
1,1,35.5,0.5,1.612343467078441e-05,2.5797495473255056e-05,0.0004546325269515,0.056743620273357,0.625,1.2755171888032388e-05,0.000345434115923,0.000345376174586,0.0081143442261576,0.0003829963574889,0.0076599271497795,0.0007052835355962,0.0009403780474616,0.5787060519871957,0.0015428498159781,0.0009700216383611,0.0012933621844814,6.51341654631805e-07,0.009290371658358,852,12,0.0003869624320988,0.0006191398913581,0.0109111806468369,1.36184688656057,15.0,0.0003061241253127,0.0082904187821524,0.0082890281900658,0.1947442614277835,0.0091919125797354,0.1838382515947085,0.016926804854309,0.0225690731390787,13.888945247692696,0.0370283955834761,0.0232805193206664,0.0310406924275553,1.563219971116332e-05,0.2229689198005927,1,2,12,314.54,0.0076006751106541,0.0030117712833578,0.103278946289983,0.1115412619931816,3.101131100512747,11.631131100512746,0.9473225394673728,1.6690194443862676,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.0710514910584343,0.0690879697523913,0.3086268517118479,2.5,1,1,5.656517095131362e-06,9.050427352210178e-06,0.0001594968264028,0.056743620273357,0.625,7.686147832283313e-05,0.002307765886643,0.002307765886643,0.0,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0028467214193641,0.0023129611532334,9.846460402257332e-05,2.5,9.846072606401188e-05,0.0004398395843922,24.35105263,0.810470947,370,8.54,0.22,,
2,2,59.5,0.5,5.61295888477342e-05,8.980734215637471e-05,0.0015826861543859,0.056743620273357,0.625,3.96121444484939e-05,0.0012025399858426,0.0012019147861111,0.0282480014018661,0.0011894239583188,0.0237884791663762,0.0021903109996811,0.0029204146662415,0.5787060519871957,0.0053691428159323,0.0030124750645639,0.0040166334194186,2.02279043630953e-06,0.0294296538801665,1428,12,0.0013471101323456,0.0021553762117529,0.0379844677052622,1.36184688656057,15.0,0.0009506914667638,0.028860959660223,0.0288459548666674,0.6779520336447865,0.0285461749996515,0.5709234999930304,0.0525674639923485,0.070089951989798,13.888945247692696,0.1288594275823757,0.072299401549535,0.0963992020660466,4.854697047142872e-05,0.7063116931239968,2,3,12,314.54,0.0082826756559171,0.0060235425667156,0.1125460569950862,0.1215497415546932,3.379392316877207,15.010523417389953,1.8946450789347455,2.249938939873464,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.0957816980539894,0.0922474510527938,0.4120839054744565,2.5,2,2,3.199809276692014e-05,5.119694842707222e-05,0.0009022503002176,0.056743620273357,0.625,0.0004347941802727,0.0130546952626903,0.0153624611493334,0.0124019604995558,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0161034881582512,0.0130840841285791,0.0005569999136896,2.5,0.0005568758417713,0.0024876521694912,24.35105263,0.810470947,370,10.61,0.24,0.030450158,
3,3,83.5,0.5,0.0001293588937116,0.0002069742299385,0.0036475330432126,0.056743620273357,0.625,8.624553908370145e-05,0.0027714302813543,0.0027682323637262,0.0651016742848814,0.0025896732406815,0.0517934648136306,0.0047688544904225,0.0063584726538966,0.5787060519871957,0.0123661303449157,0.0065589111505273,0.0087452148673698,4.404120354042185e-06,0.0647518765915606,2004,12,0.0031046134490787,0.0049673815185259,0.0875407930371037,1.36184688656057,15.0,0.0020698929380088,0.066514326752505,0.0664375767294293,1.5624401828371537,0.0621521577763567,1.2430431555271346,0.1144525077701403,0.1526033436935203,13.888945247692696,0.2967871282779788,0.1574138676126565,0.2098851568168754,0.000105698888497,1.554045038197455,3,4,12,314.54,0.0089646762011801,0.0090353138500734,0.1218131677001895,0.1315582211162047,3.657653533241667,18.66817695063162,2.8419676184021188,2.83085843536066,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1205119050495445,0.1149698125939882,0.5135882763663867,2.5,3,3,8.817637502384488e-05,0.0001410822000381,0.0024863094627819,0.056743620273357,0.625,0.0011981518704,0.0359745099087602,0.0513369710580936,0.046577744912878,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0443759952000002,0.0360554961000002,0.0015349112722282,2.5,0.0015339694694162,0.0068524834303971,24.35105263,0.810470947,370,13.44,0.11,0.030450158,
4,4,107.5,0.5,0.0002420499478112,0.0003872799164979,0.0068250829720113,0.056743620273357,0.625,0.0001560312649096,0.005185762924502,0.0051747545543843,0.121815024935271,0.0046851117836272,0.0937022356725454,0.0086275812780157,0.0115034417040209,0.5787060519871957,0.0231164443277898,0.0118660653538718,0.015821420471829,7.967721889810894e-06,0.1178902069703975,2580,12,0.0058091987474695,0.0092947179959512,0.1638019913282729,1.36184688656057,15.0,0.0037447503578327,0.1244583101880499,0.1241941093052242,2.923560598446505,0.1124426828070545,2.24885365614109,0.2070619506723778,0.2760826008965038,13.888945247692696,0.5547946638669571,0.2847855684929232,0.3797140913238975,0.0001912253253554,2.82936496728954,4,5,12,314.54,0.0096466767464431,0.0120470851334313,0.1310802784052928,0.1415667006777163,3.935914749606127,22.604091700237745,3.789290157869492,3.4117779308478573,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1452421120450996,0.1372673141937936,0.6131947309264391,2.5,4,4,0.0001810085470442,0.0002896136752707,0.0051038984448919,0.056743620273357,0.625,0.0024595673063306,0.073848508372578,0.1251854794306717,0.1167338278668272,3.0533896667926457,2.47468361480545,0.5787060519871958,0.091095085419654,0.0740147569034689,0.0031508673287223,2.5,0.0031469011415249,0.0140577034675945,24.35105263,0.810470947,370,14.83,0.18,,
5,5,131.5,0.5,0.0003995634286833,0.0006393014858933,0.011266490978432,0.056743620273357,0.625,0.00025190632651,0.0085603869498413,0.0085306763841861,0.2010858893728954,0.0075639282895366,0.1512785657907322,0.0139288898777428,0.0185718531703238,0.5787060519871957,0.0381078761593343,0.0191572947585366,0.0255430596780489,1.2863572906864792e-05,0.191116380004091,3156,12,0.0095895222884003,0.0153432356614404,0.27039578348237,1.36184688656057,15.0,0.0060457518362419,0.2054492867961914,0.2047362332204664,4.8260613449494905,0.1815342789488788,3.630685578977574,0.3342933570658288,0.4457244760877718,13.888945247692696,0.9145890278240238,0.4597750742048804,0.6130334322731739,0.0003087257497647,4.586793120098184,5,6,12,314.54,0.0103286772917061,0.0150588564167891,0.1403473891103961,0.1515751802392278,4.214175965970586,26.81826766620833,4.736612697336865,3.992697426335054,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1699723190406547,0.159151761451339,0.7109560066269227,2.5,5,5,0.000316208918515,0.0005059342696241,0.0089161436508076,0.056743620273357,0.625,0.0042966872595245,0.1290080349672241,0.2541935143978958,0.2392914610856901,3.0533896667926457,2.47468361480545,0.5787060519871958,0.1591365651675753,0.1292984591986549,0.0055043386993018,2.5,0.0054922462259228,0.024534729673022,24.35105263,0.810470947,370,17.21,0.28,,
6,6,155.5,0.5,0.0006066770007372,0.0009706832011795,0.0171064728775397,0.056743620273357,0.625,0.0003765065910044,0.0129976607143287,0.0129296152021821,0.3053186940990314,0.0113052692814439,0.2261053856288787,0.0208185277321169,0.0277580369761559,0.5787060519871957,0.0577586292953267,0.0286330551611456,0.0381774068815275,1.9226273712135133e-05,0.2864496311268363,3732,12,0.0145602480176939,0.0232963968283103,0.410555349060955,1.36184688656057,15.0,0.0090361581841076,0.3119438571438899,0.3103107648523713,7.327648658376753,0.2713264627546548,5.42652925509309,0.4996446655708068,0.6661928874277424,13.888945247692696,1.386207103087842,0.6871933238674952,0.9162577651566604,0.0004614305690912,6.874791147044071,6,7,12,314.54,0.0110106778369691,0.0180706277001469,0.1496144998154994,0.1615836598007393,4.492437182335046,31.310704848543377,5.6839352368042375,4.57361692182225,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1947025260362097,0.1806345265896647,0.8069229049808435,2.5,6,6,0.0004988009017584,0.0007980814428135,0.014064690250091,0.056743620273357,0.625,0.0067777704996095,0.203502559250776,0.4576960736486719,0.4326188923739273,3.0533896667926457,2.47468361480545,0.5787060519871958,0.251028537022575,0.2039606863308422,0.008682769352898,2.5,0.0086527175326532,0.0386530532077513,24.35105263,0.810470947,370,24.38,0.36,,
7,7,179.5,0.5,0.0008677435158139,0.0013883896253022,0.0244677660433687,0.056743620273357,0.625,0.0005322443736732,0.0185908412415533,0.018452362598403,0.4367040727425711,0.0159815687471936,0.3196313749438736,0.0294298812247035,0.0392398416329381,0.5787060519871957,0.0824296125041866,0.0404768014019027,0.0539690685358703,2.717900895887422e-05,0.4057161151648345,4308,12,0.0208258443795338,0.0333213510072541,0.5872263850408489,1.36184688656057,15.0,0.0127738649681583,0.44618018979728,0.4428567023616737,10.480897745821707,0.3835576499326487,7.671152998652968,0.7063171493928863,0.9417561991905148,13.888945247692696,1.9783107001004807,0.9714432336456656,1.2952576448608872,0.0006522962150129,9.737186763956029,7,8,12,314.54,0.011692678382232,0.0210823989835048,0.1588816105206026,0.1715921393622508,4.770698398699505,36.08140324724288,6.63125777627161,5.154536417309447,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.2194327330317648,0.2017265681610828,0.9011443795688544,2.5,7,7,0.0007333211385046,0.0011733138216074,0.020677457940736,0.056743620273357,0.625,0.0099644614951069,0.2991829563905852,0.7568790300392572,0.7168427009449834,3.0533896667926457,2.47468361480545,0.5787060519871958,0.3690541294484044,0.2998564801768286,0.0127651299041227,2.5,0.0127002816063133,0.0567341599710955,24.35105263,0.810470947,370,27.32,0.34,,
8,8,203.5,0.5,0.0011867880724308,0.0018988609158893,0.0334638661886872,0.056743620273357,0.625,0.0007213573955766,0.0254261636530188,0.025168363199146,0.5972677124838214,0.0216600181776312,0.4332003635526243,0.039886682739111,0.0531822436521481,0.5787060519871957,0.1124310458786337,0.0548587105562795,0.0731449474083727,3.683604766287983e-05,0.5505852493226514,4884,12,0.0284829137383395,0.0455726619813432,0.8031327885284941,1.36184688656057,15.0,0.0173125774938396,0.6102279276724515,0.6040407167795049,14.334425099611712,0.5198404362631497,10.396808725262984,0.957280385738666,1.2763738476515547,13.888945247692696,2.698345101087209,1.3166090533507098,1.7554787378009462,0.0008840651439091,13.214045983743633,8,9,12,314.54,0.012374678927495,0.0240941702668626,0.1681487212257059,0.1816006189237624,5.048959615063966,41.130362862306846,7.578580315738983,5.735455912796644,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.2441629400273199,0.2224384496870375,0.9936676193064484,2.5,8,8,0.0010239389685414,0.0016383023496663,0.0288720096069644,0.056743620273357,0.625,0.0139134137687291,0.4177502484060919,1.174629278445349,1.1137054369307706,3.0533896667926457,2.47468361480545,0.5787060519871958,0.5153116210640415,0.4186906921145337,0.0178239972380697,2.5,0.0176978188880773,0.0790589468060714,24.35105263,0.810470947,370,28.44,0.34,,
9,9,227.5,0.5,0.0015675727849127,0.0025081164558603,0.0442008536603366,0.056743620273357,0.625,0.0009459420676973,0.0335842288047035,0.0331365476636693,0.7889029500263202,0.0284035659812301,0.568071319624602,0.0523048510699187,0.0697398014265583,0.5787060519871957,0.1480261819632335,0.0719382131700915,0.095917617560122,4.830444285410877e-05,0.7225936511783724,5460,12,0.0376217468379055,0.0601947949406488,1.0608204878480794,1.36184688656057,15.0,0.0227026096247353,0.8060214913128847,0.7952771439280647,18.933670800631685,0.681685583549523,13.633711670990447,1.2553164256780498,1.6737552342373998,13.888945247692696,3.552628367117606,1.726517116082196,2.302022821442928,0.0011593066284986,17.342247628280937,9,10,12,314.54,0.013056679472758,0.0271059415502205,0.1774158319308092,0.191609098485274,5.327220831428426,46.45758369373527,8.525902855206356,6.31637540828384,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.2688931470228751,0.24278035729908,1.0845381272489785,2.5,9,9,0.0013745336541169,0.002199253846587,0.0387577288158981,0.056743620273357,0.625,0.0186773392324484,0.5607871104542645,1.7354163888996137,1.6464531918623218,3.0533896667926457,2.47468361480545,0.5787060519871958,0.691753304905498,0.5620495602357172,0.0239268987774853,2.5,0.023700071096626,0.1058719535993526,24.35105263,0.810470947,370,41.83,0.42,,
