,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
0,0,0.0,0.05674362027335708,0.625,0.0,0.0,0.0,0.0,2.9897039819500972,2.018050187816316,0.9716537941337813,0.0,0.0,0.0,2.5,0.0,0.0,24,23,0.675,370
1,1,0.000159496826402873,0.05674362027335708,0.625,7.686147832283313e-05,0.0023077658866430648,0.0023077658866430648,0.0,2.9897039819500972,2.018050187816316,0.9716537941337813,0.0028467214193641896,0.002312961153233404,6.880602470905394e-05,2.5,6.88041310535574e-05,0.0005160503620476093,24,23,0.675,370
2,2,0.0009022503002176405,0.05674362027335708,0.625,0.00043479418027278505,0.013054695262690371,0.015362461149333435,0.012401960499555852,2.9897039819500972,2.018050187816316,0.9716537941337813,0.016103488158251297,0.013084084128579178,0.0003892256532660895,2.5,0.0003891650640555753,0.0029188475913725993,24,23,0.675,370
3,3,0.002486309462781922,0.05674362027335708,0.625,0.0011981518704000077,0.03597450990876023,0.051336971058093664,0.04657774491287807,2.9897039819500972,2.018050187816316,0.9716537941337813,0.044375995200000275,0.03605549610000022,0.0010725797759662888,2.5,0.0010721198023593192,0.008041200487442713,24,23,0.675,370
4,4,0.005103898444891936,0.05674362027335708,0.625,0.0024595673063306602,0.07384850837257807,0.12518547943067174,0.11673382786682723,2.9897039819500972,2.018050187816316,0.9716537941337813,0.09109508541965407,0.07401475690346893,0.002201792790689726,2.5,0.002199855340438071,0.016499534657326915,24,23,0.675,370
5,5,0.00891614365080768,0.05674362027335708,0.625,0.004296687259524534,0.12900803496722413,0.25419351439789584,0.23929146108569016,2.9897039819500972,2.018050187816316,0.9716537941337813,0.15913656516757535,0.12929845919865496,0.0038463737127743696,2.5,0.003840464967376231,0.02880456894809072,24,23,0.675,370
6,6,0.014064690250091034,0.05674362027335708,0.625,0.006777770499609527,0.20350255925077604,0.4576960736486719,0.43261889237392737,2.9897039819500972,2.018050187816316,0.9716537941337813,0.25102853702257505,0.20396068633084222,0.006067427463594487,2.5,0.006052737644947731,0.04539723713134482,24,23,0.675,370
7,7,0.02067745794073609,0.05674362027335708,0.625,0.00996446149510692,0.29918295639058523,0.7568790300392572,0.7168427009449834,2.9897039819500972,2.018050187816316,0.9716537941337813,0.36905412944840443,0.2998564801768286,0.008920137874072982,2.5,0.00888842348887143,0.06666567965074853,24,23,0.675,370
8,8,0.028872009606964497,0.05674362027335708,0.625,0.013913413768729122,0.4177502484060919,1.174629278445349,1.1137054369307706,2.9897039819500972,2.018050187816316,0.9716537941337813,0.5153116210640415,0.4186906921145337,0.012455220904514864,2.5,0.012393475514392283,0.0929545570636146,24,23,0.675,370
9,9,0.03875772881589813,0.05674362027335708,0.625,0.018677339232448447,0.5607871104542645,1.7354163888996135,1.6464531918623218,2.9897039819500972,2.018050187816316,0.9716537941337813,0.691753304905498,0.5620495602357172,0.016719864004300106,2.5,0.016608785351359567,0.12457056811121499,24,23,0.675,370
