[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130558  0.010081
PPFD  0.514857  0.032612
H     0.371383  0.025180,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123290  0.021039
PPFD  0.501857  0.046448
H     0.355874  0.035633,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.387779e-17  3.899141e-17
(TEMP, PPFD)  0.000000e+00  1.010449e-16
(TEMP, H)     0.000000e+00  8.522831e-17
(RH, CO2)    -1.387779e-17  3.899141e-17
(RH, PPFD)    0.000000e+00  1.010449e-16
(RH, H)       0.000000e+00  8.522831e-17
(CO2, PPFD)   4.761511e-03  3.705943e-02
(CO2, H)      4.106684e-03  3.579054e-02
(PPFD, H)     1.124753e-02  7.637437e-02]
