[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128465  0.009239
PPFD  0.506988  0.034992
H     0.380214  0.024641,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121468  0.021305
PPFD  0.494103  0.047014
H     0.364757  0.036361,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.880629e-17
(TEMP, PPFD)  0.000000  1.231852e-16
(TEMP, H)     0.000000  1.017524e-16
(RH, CO2)     0.000000  4.880629e-17
(RH, PPFD)    0.000000  1.231852e-16
(RH, H)       0.000000  1.017524e-16
(CO2, PPFD)   0.004404  3.797287e-02
(CO2, H)      0.004326  3.564500e-02
(PPFD, H)     0.010997  7.854456e-02]
