Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,-1.4232853892335628,0.0412621292866369,-1.4970858127055686,0.03644416651580858,-1.5003663003662997,0.03707201805795809,-0.8456190711071435,0.05007037895386651,-0.45652472961729346,0.04106096779618116,-0.46054866655521215,0.04310971726374134,-0.46060735287521715,0.044430091189094065,-1.3694642729336464,0.04088058620425395,-1.3948421571452094,0.036340692692159414,-0.0006178016659599272,0.08649817231461658,-1.429332303065986,0.03623680188034039,-0.001102478376023397,0.019438051744253743,-1.409137900146248,0.043871244554313384,-0.740206993695275,0.05566893289591018,-0.6467473135701791,0.054436443201447145,,,-0.5816112111111904,0.03872079428338073,-0.015121983964030195,0.014554590580679382
TEMPxCO2,-1.4232853892335628,0.041262129286636896,-1.4970858127055686,0.03644416651580861,-1.5003663003662997,0.03707201805795809,-0.8456190711071435,0.050070378953866526,-0.4565247296172935,0.041060967796181166,-0.46054866655521215,0.04310971726374135,-0.4606073528752172,0.044430091189094065,-1.3694642729336464,0.04088058620425395,-1.3948421571452094,0.03634069269215943,-0.0006178016659599272,0.08649817231461658,-1.428866179355949,0.03597705777966815,-0.0006506820201452948,0.012808280831344852,-1.409137900146248,0.04387124455431337,-0.7402069936952751,0.055668932895910184,-0.6466512571775644,0.05488792190125839,,,-0.5822745347679216,0.03823510592585011,-0.015006209153488811,0.013058068694395178
TEMPxPPFD,-1.4232853892335628,0.04126212928663691,-1.4970858127055686,0.03644416651580867,-1.5003663003662993,0.037072018057958074,-0.8456190711071435,0.05007037895386655,-0.45652472961729346,0.041060967796181166,-0.46054866655521215,0.04310971726374135,-0.46060735287521726,0.044430091189094065,-1.3694642729336464,0.04088058620425395,-1.3948421571452094,0.036340692692159435,-0.0006178016659599272,0.08649817231461658,-1.428654620748104,0.03591649650929876,-0.0006506820201452818,0.012808280831344845,-1.409137900146248,0.043871244554313384,-0.740206993695275,0.05566893289591017,-0.6461744705183904,0.05517175735348767,,,-0.5822578320589529,0.0391267865554775,-0.015214731685506008,0.013201958760716307
TEMPxH,-1.4232853892335628,0.0412621292866369,-1.4970858127055686,0.03644416651580858,-1.5003663003662997,0.03707201805795809,-0.8456190711071435,0.05007037895386651,-0.45652472961729346,0.04106096779618116,-0.46054866655521215,0.043109717263741354,-0.46060735287521715,0.044430091189094065,-1.3694642729336464,0.04088058620425397,-1.3948421571452094,0.03634069269215943,-0.0006178016659599272,0.08649817231461658,-1.429324072988653,0.03618732271930021,-0.000650682020145285,0.012808280831344844,-1.409137900146248,0.043871244554313384,-0.740206993695275,0.055668932895910184,-0.646642983254474,0.05445078505182979,,,-0.5814478030108219,0.03898231987692625,-0.014518966319695403,0.014165346005138952
TEMPxSTRU,-1.4232853892335628,0.041262129286636896,-1.4970858127055686,0.036444166515808604,-1.5003663003662997,0.03707201805795809,-0.8456190711071435,0.05007037895386652,-0.45652472961729346,0.041060967796181166,-0.46054866655521215,0.04310971726374135,-0.46060735287521715,0.044430091189094065,-1.3694642729336464,0.04088058620425395,-1.3948421571452094,0.03634069269215943,-0.0006178016659599272,0.08649817231461658,-1.428866179355949,0.03597705777966815,-0.0006506820201452948,0.012808280831344852,-1.409137900146248,0.04387124455431337,-0.740206993695275,0.055668932895910184,-0.6460135526402284,0.05515388016175624,,,-0.5817072861296492,0.03824058225912822,-0.014787918878719388,0.01300660493630817
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,0.019076149717097927,0.05661392244866537,0.004212383291621729,0.05121217575390148,2.168404344971009e-19,0.05690498897171534,0.05756078518805033,0.07113066514159033,-0.01605437251179491,0.06547609557851768,0.028277908666250497,0.05870913092559519,0.028278858597370504,0.06160949256092136,0.004771240386736542,0.05397393728040364,-0.017676366355598237,0.0592631655800639,0.0,0.0,0.01917994219110112,0.05376024801790791,0.0012771887461124898,0.07961812741461029,-0.01157860237612886,0.062182200973372175,0.028658079042136547,0.07017397888888985,0.016496863668697168,0.06260816355481788,,,-0.025941094859670145,0.06416015096676767,-0.002701036377298702,0.05528043462201618
RHxPPFD,-1.4378597051687751,0.043629106203073455,-1.4960311275965545,0.036216787978923845,-1.5003663003662997,0.03707201805795809,-0.9702716196293025,0.05502336653623495,-0.6878567184537197,0.056811905226931095,-0.5352369233301404,0.05404667258743764,-0.5352983960955252,0.04969534674379973,-1.400728770482229,0.04336855933369103,-1.4035501120498168,0.04511264061792515,0.0,0.0,-1.4404637788265322,0.04086136393453565,0.0012771887461125028,0.07961812741461029,-1.439000815537372,0.04638110583149715,-0.8457985233460557,0.06346156810228723,-0.7155012931409781,0.07238922208695787,,,-0.6068635353182308,0.06984627565713784,-0.015755413209891163,0.05596198428059801
RHxH,1.4305501726332555,0.10327237144949558,1.5002591277511232,0.13459747263274977,1.4981695707903615,0.14213569531934245,0.886162219191023,0.0971184780090368,0.46356745467444854,0.09069856710799622,0.49816769751683776,0.06444946623519668,0.4982396154122788,0.07288315469443295,1.3783456617718928,0.13452466629975612,1.418553572236107,0.13613531797880898,0.0,0.0,1.4779773391775017,0.12030309065367677,0.0012771887461124857,0.07961812741461026,1.4247579636127627,0.10788189079831682,0.8136245040350276,0.12532980341252112,0.6848927332664099,0.11513652095276213,,,0.5804566777017167,0.104782940181752,0.028653523147751825,0.08018782095542067
RHxSTRU,0.022577491433378834,0.05625312837830627,0.006018788027160177,0.0516631332750225,2.168404344971009e-19,0.05690498897171534,0.05930437151045798,0.06500488223200895,-0.0460636259534047,0.0638163468735897,0.03024756198516558,0.05549233897104708,0.030248768027227785,0.05535618237626096,0.004771240386736543,0.053973937280403644,-0.019144430713438743,0.06033490977822134,0.0,0.0,0.01917994219110112,0.05376024801790791,0.0012771887461124898,0.07961812741461029,-0.01304013888598367,0.06091820003073123,0.02946168462318999,0.06480350090861804,0.01716311938924478,0.06183576583083712,,,-0.0246803310062661,0.0649195347568946,-0.0030445427207888565,0.054924169108981305
CO2xTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xPPFD,-1.4479805278346354,0.0450424460613581,-1.4989472864346955,0.03698370874132206,-1.5003663003662997,0.03707201805795809,-1.002156758601381,0.06817089558846004,-0.6818751566136388,0.06367452906343804,-0.5822997872467905,0.06581599760629243,-0.5823609439298202,0.06698030671940086,-1.4039306638604594,0.0452687658495217,-1.3895385923110675,0.041993221968995166,0.0,0.0,-1.4206696315220324,0.04008579670355462,5.7199081830609145e-18,4.210283213525104e-17,-1.4371771742959543,0.04462332965335617,-0.8596093013742179,0.0680176047439418,-0.7641121143854852,0.07764723631245955,,,-0.6397711919833717,0.05657027587897122,-0.0227756136284983,0.00903214466675618
CO2xH,0.02356923263551229,0.052878877016013036,0.004719585483297606,0.05160730703306543,2.168404344971009e-19,0.05690498897171534,0.0636797526945476,0.06709827807040529,-0.03464909035807806,0.05466927897659087,0.02715431871469373,0.05761033744991895,0.027157685675378906,0.05704535287198362,0.0015693470085060496,0.05519593052079467,-0.022146728230983542,0.060676432369670324,0.0,0.0,0.03363995135799892,0.05149580756527795,4.477395476219706e-18,4.216293245534369e-17,-0.00824747910843669,0.06373797305035027,0.016584653211940432,0.05462231041991081,-0.014872302540946708,0.05665435831968737,,,-0.04154878211403343,0.04932121466660445,-0.003862999019831004,0.010189920622467841
CO2xSTRU,1.4354666195812662,0.031510429754810165,1.4994095702722636,0.03556075874831356,1.5003663003663001,0.0392547274789237,0.9390852236630286,0.0558747580808397,0.565695761805161,0.059554470845942946,0.4870088600599543,0.04904694776111766,0.48706821795739746,0.04139814799601072,1.3755508239064516,0.04811556365484387,1.4096309744127606,0.04538072357166741,0.0,0.0,1.4429157262370145,0.036329488985770694,4.381481593201203e-18,4.206377162564743e-17,1.4240249193280847,0.03554579815824214,0.7875837701136752,0.04332442826225745,0.6133057551758497,0.038196801804910516,,,0.5635748117572447,0.04732476538722927,0.006194794359456255,0.008320552844332104
PPFDxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxH,-1.4476646079636977,0.04389443701644991,-1.496989802670321,0.036467024315795384,-1.5003663003662997,0.03707201805795809,-0.9889471622595871,0.05617705094958649,-0.6584487669935101,0.07214085230355975,-0.541837560719464,0.06281366276855883,-0.541895883459595,0.05552905904278603,-1.410799673200642,0.0402886605665204,-1.4014163164787414,0.039768293769077145,0.0,0.0,-1.428680805282741,0.03615831163680608,1.3096959476411236e-17,3.621445769466894e-17,-1.436499403918118,0.04634170740222005,-0.8601832181946121,0.06982301346460354,-0.7453749336205845,0.0709777579931303,,,-0.6286527494374304,0.06383203614841135,-0.013242446426613541,0.012174337086247468
PPFDxSTRU,-1.4446554346432956,0.04266530748556372,-1.4971449465817341,0.03642435074258937,-1.5003663003662997,0.03707201805795809,-0.9970111546007564,0.06737786483780199,-0.7016527828900317,0.061401092683038554,-0.5502228923443752,0.06232115565031481,-0.5502802748530726,0.06136478320003944,-1.410799673200642,0.04028866056652039,-1.403391333172943,0.03502536117077932,0.0,0.0,-1.428680805282741,0.036158311636806086,1.3023910191779633e-17,3.638998242538265e-17,-1.4342099342381247,0.044140641647909144,-0.8813336136490408,0.07138053612794931,-0.7661472272048897,0.07674974527563369,,,-0.6510828043657724,0.053210090996106935,-0.014523466392645323,0.011691071129374501
HxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
