[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.007829  0.007595
H     1.746250  0.289934,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.116098  0.060225
H     1.819585  0.130799,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  2.775558e-17  3.166728e-17
(TEMP, H)     2.220446e-16  3.219810e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    2.775558e-17  3.166728e-17
(RH, H)       2.220446e-16  3.219810e-16
(CO2, PPFD)   2.775558e-17  3.166728e-17
(CO2, H)      2.220446e-16  3.219810e-16
(PPFD, H)    -2.185806e-01  1.673219e-01]
