[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.007829  0.006908
H     1.746250  0.263503,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.116098  0.054777
H     1.819585  0.118784,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  2.928378e-17
(TEMP, H)     0.000000  3.123603e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  2.928378e-17
(RH, H)       0.000000  3.123603e-16
(CO2, PPFD)   0.000000  2.928378e-17
(CO2, H)      0.000000  3.123603e-16
(PPFD, H)    -0.218581  1.521773e-01]
