[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130108  0.006484
PPFD  0.515788  0.023833
H     0.371540  0.016896,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123434  0.015874
PPFD  0.499922  0.033658
H     0.358104  0.026759,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.836408e-17
(TEMP, PPFD)  0.000000  1.164389e-16
(TEMP, H)     0.000000  9.489363e-17
(RH, CO2)     0.000000  4.836408e-17
(RH, PPFD)    0.000000  1.164389e-16
(RH, H)       0.000000  9.489363e-17
(CO2, PPFD)   0.005542  2.871984e-02
(CO2, H)      0.004215  2.481323e-02
(PPFD, H)     0.013701  6.127608e-02]
