[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.635082  0.646183
PPFD  0.455546  0.385486
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   1.196348  0.662050
PPFD  1.033347  0.518406
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  9.340135e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  9.340135e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -1.170201  1.694084e-01
(CO2, H)     -0.299717  2.759037e-01
(PPFD, H)    -0.264835  3.947527e-02]
