[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.639033  0.614733
PPFD  0.459586  0.401082
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   1.206736  0.630840
PPFD  1.027195  0.531515
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.220446e-16  3.058930e-16
(TEMP, PPFD)  0.000000e+00  2.185209e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.220446e-16  3.058930e-16
(RH, PPFD)    0.000000e+00  2.185209e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -1.166185e+00  1.242422e-01
(CO2, H)     -3.036173e-01  2.362476e-01
(PPFD, H)    -2.593863e-01  6.870021e-02]
