[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.857458  0.661820
PPFD  0.288820  0.296827
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   1.453871  0.592785
PPFD  0.817385  0.505405
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.868027e-16
(TEMP, PPFD)  1.110223e-16  2.337490e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  1.868027e-16
(RH, PPFD)    1.110223e-16  2.337490e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -1.226973e+00  4.122915e-02
(CO2, H)     -4.294913e-01  2.274418e-01
(PPFD, H)    -2.494641e-01  9.326972e-02]
