[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128180  0.006737
PPFD  0.508007  0.024026
H     0.381116  0.018302,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121748  0.013096
PPFD  0.492408  0.031483
H     0.367090  0.027089,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.673648e-17
(TEMP, PPFD)  0.000000  1.260636e-16
(TEMP, H)     0.000000  1.100619e-16
(RH, CO2)     0.000000  3.673648e-17
(RH, PPFD)    0.000000  1.260636e-16
(RH, H)       0.000000  1.100619e-16
(CO2, PPFD)   0.004878  2.503781e-02
(CO2, H)      0.003830  2.474451e-02
(PPFD, H)     0.013732  5.468888e-02]
