[            ST   ST_conf
TEMP  0.007566  0.009465
RH    1.758022  0.050203
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.115661  0.071028
RH    1.889120  0.037397
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.225578  0.090269
(TEMP, CO2)   0.008371  0.043579
(TEMP, PPFD)  0.008371  0.043579
(TEMP, H)     0.008371  0.043579
(RH, CO2)    -0.018449  0.023101
(RH, PPFD)   -0.018449  0.023101
(RH, H)      -0.018449  0.023101
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
