Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00066886467984828,0.05941159787584566,-0.0003660523172789691,0.00218321132594783,-0.0003296360576060531,0.013317467904501307,0.0,0.0,0.0,0.0,0.00025838204257655484,0.004261200437386477,,,3.0140234272613142e-05,0.005261984529591101,-0.0001252257077894092,0.001802997875297297
TEMPxCO2,1.734723475976807e-18,9.196741891970244e-18,-3.2526065174565133e-19,3.523012713265874e-18,0.0,0.0,0.0,3.421385998525733e-17,0.0,6.445967809049817e-17,0.0,2.02085840936105e-17,0.0,2.9549253287293414e-17,3.469446951953614e-18,9.180158867706062e-18,0.0,1.101226225379161e-17,-0.00066886467984828,0.05941159787584566,-0.000298259993213509,0.002082707928794198,8.243443391061853e-05,0.010344338525656539,8.673617379884035e-19,5.438651153581376e-18,0.0,2.320063689292406e-17,0.0001973021425789659,0.0038725066259153616,,,6.937865615834482e-06,0.005001665863122711,-8.985144533336338e-05,0.0018216187968748696
TEMPxPPFD,0.0,1.9228907499705856e-17,-4.0657581468206416e-20,1.2843851647570514e-18,0.0,0.0,0.0,6.931962793136977e-17,-5.551115123125783e-17,5.953191150779832e-17,0.0,6.446895219717023e-17,0.0,6.369225973140565e-17,-6.938893903907228e-18,3.048135977304857e-17,6.938893903907228e-18,3.179211153801993e-17,-0.00066886467984828,0.05941159787584566,-0.000298259993213509,0.002082707928794198,8.243443391061853e-05,0.010344338525656539,-3.469446951953614e-18,1.3779571411324179e-17,0.0,7.495721641617794e-17,-0.00018070871300818192,0.004566663632673261,,,0.00034877963192142536,0.005554889234254501,-9.275762178253343e-05,0.001817731246505422
TEMPxH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.209771035987168e-17,0.0,8.522830845727747e-17,0.0,2.131321407166679e-17,0.0,5.2483466327450286e-17,-0.00066886467984828,0.05941159787584566,-0.000298259993213509,0.002082707928794198,8.243443391061853e-05,0.010344338525656539,0.0,0.0,-3.469446951953614e-18,1.2200425106383132e-17,0.00027249598417731016,0.003950445607954266,,,4.3441207325273234e-05,0.004857952813321793,-9.033244468194035e-05,0.0018222494794182106
TEMPxSTRU,0.0,4.766367541115782e-17,0.0,1.9826689886674442e-16,0.0,0.0,0.0,7.525174492372497e-17,0.0,6.505055544139676e-17,5.551115123125783e-17,6.08725529304635e-17,0.0,7.821246898548473e-17,1.1102230246251565e-16,1.19464847468696e-16,0.0,1.7922395930672957e-16,-0.00066886467984828,0.05941159787584566,0.00020357067199017198,0.0020928902587648815,8.243443391061725e-05,0.010344338525656537,0.0,1.6821116016602748e-16,0.0,6.008170995105413e-17,0.00010000498884388254,0.005433286863737797,,,-0.00011036763584443277,0.00500862943933626,0.00037951918570888754,0.0022824345020248356
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,1.734723475976807e-18,9.196741891970244e-18,-3.2526065174565133e-19,3.523012713265874e-18,0.0,0.0,0.0,3.421385998525733e-17,0.0,6.445967809049817e-17,0.0,2.02085840936105e-17,0.0,2.9549253287293414e-17,3.469446951953614e-18,9.180158867706062e-18,0.0,1.101226225379161e-17,0.0,0.0,0.004136369436577587,0.014127319727953336,-0.003032266592876476,0.06025266157134576,8.673617379884035e-19,5.438651153581376e-18,0.0,2.320063689292406e-17,0.006693304611973511,0.028070420984430217,,,-0.0053519795035948045,0.03251582118033958,0.005349618604663177,0.012483726851720672
RHxPPFD,0.0,1.9228907499705856e-17,-4.0657581468206416e-20,1.2843851647570514e-18,0.0,0.0,0.0,6.931962793136977e-17,-5.551115123125783e-17,5.953191150779832e-17,0.0,6.446895219717023e-17,0.0,6.369225973140565e-17,-6.938893903907228e-18,3.048135977304857e-17,6.938893903907228e-18,3.179211153801993e-17,0.0,0.0,0.004136369436577587,0.014127319727953336,-0.003032266592876476,0.06025266157134576,-3.469446951953614e-18,1.3779571411324179e-17,0.0,7.495721641617794e-17,0.009869735447784134,0.03207625817454094,,,-0.0024194135256581373,0.034207899196115735,0.005374329982445861,0.012501136043375147
RHxH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.209771035987168e-17,0.0,8.522830845727747e-17,0.0,2.131321407166679e-17,0.0,5.2483466327450286e-17,0.0,0.0,0.004136369436577587,0.014127319727953336,-0.003032266592876476,0.06025266157134576,0.0,0.0,-3.469446951953614e-18,1.2200425106383132e-17,0.006452979436165025,0.028058289946671852,,,-0.0021356922703629558,0.03262653706989568,0.00532406349146155,0.01248720148063528
RHxSTRU,0.0,4.766367541115782e-17,0.0,1.9826689886674442e-16,0.0,0.0,0.0,7.525174492372497e-17,0.0,6.505055544139676e-17,5.551115123125783e-17,6.08725529304635e-17,0.0,7.821246898548473e-17,1.1102230246251565e-16,1.19464847468696e-16,0.0,1.7922395930672957e-16,0.0,0.0,0.013828797984901664,0.013922713691720129,-0.0030322665928764737,0.06025266157134575,0.0,1.6821116016602748e-16,0.0,6.008170995105413e-17,0.006638382684062749,0.03358846269944024,,,0.0014396468008952001,0.03754192255625167,0.01824420161784457,0.012311724274738828
CO2xTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xPPFD,0.002678915359531183,0.00816912156145738,0.0011788705230822943,0.002982628545882429,0.0,0.0,0.008149220751582004,0.030484028416375878,-0.0056560360262420395,0.03799751225745737,0.008199634169678616,0.022766549973504278,0.008200102375414853,0.02123302177530864,0.0044587347081816164,0.011293341309856464,-0.002249706021000192,0.007813250215184512,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029121829389005503,0.006336122981489405,0.0063793402882100225,0.023996981227799644,0.003656229563015534,0.016876305693553955,,,0.0038430686253818624,0.015441503544585497,4.6666260544882385e-06,0.00025293111773388874
CO2xH,0.0026801195332189836,0.007941643994692384,0.0011775804455606861,0.002980877001580237,0.0,0.0,0.007599249250749257,0.025715601459509393,-0.006508600274343163,0.03432063132989298,0.006607388037837281,0.019358840211775922,0.0066080061604560925,0.02149460227240322,0.0038171991685765974,0.011440870490913786,-0.00219976416385681,0.0077504233127578155,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030169923785916923,0.006085367268608414,0.0064679101408641575,0.020683286576775296,0.00421249138901645,0.016501062679013904,,,0.004208919826648477,0.015141000977387159,5.035796128539756e-06,0.0002523324886709352
CO2xSTRU,0.005114848846954678,0.006765862332738676,0.0012410591997153997,0.0029656312510854786,0.0,0.0,0.055477602387006275,0.02942247445943379,0.07726649684116349,0.034625322273670545,0.03079267804870678,0.01734297364015772,0.030792303478316574,0.018613901160027917,0.008750473015537441,0.009850635137164257,0.003003732771938994,0.007271925380551028,0.0,0.0,0.0,2.6482985912531964e-16,-4.2085090322655764e-21,7.723099753601923e-19,0.0027603737435767384,0.005154053253265522,0.03801560431032114,0.02536897251114838,0.016854737574253043,0.017866529347489207,,,0.03466956967223839,0.016976311516248302,4.818777898707438e-06,0.0003495130096566669
PPFDxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxH,0.00223702058639607,0.014707672227219316,-5.2297898923087515e-05,0.00034846013333440724,0.0,0.0,0.005305350943325959,0.03685778041876004,-0.0011361761280551663,0.04756922367825095,0.009439078393661537,0.04947792099628014,0.009438664064905844,0.05687550537924129,0.0029332025726295716,0.024969827297596114,9.920236651150827e-05,0.017519803484049155,0.0,0.0,0.0,0.0,0.0,0.0,0.00023183316670161852,0.014281032395234905,0.005109407465562436,0.048308411527887236,0.010625254387310858,0.040969898346727,,,-0.0026087154742553756,0.03682216043850523,0.0006564394393071323,0.0017150612154137232
PPFDxSTRU,0.015060022688062613,0.01233137010509935,-8.48965282307379e-06,0.0003230491771654042,0.0,0.0,0.09534913617959773,0.04078097492362418,0.14393737548308977,0.049052409945436,0.05828781064760785,0.04679853884207135,0.05828533979224265,0.052097744001500614,0.024701463726939044,0.019516931713896513,0.0008464942132351272,0.02073810714381424,0.0,0.0,0.0,2.6482985912531964e-16,-4.2085090322655764e-21,7.723099753601923e-19,0.020033119448019665,0.01143009000694915,0.07413238937874289,0.06409059926423873,0.0686813249566735,0.0470599975313339,,,0.038019664899561434,0.03923987517183325,0.0006179130425814083,0.0018459032403000978
HxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxSTRU,0.0,4.766367541115782e-17,0.0,1.9826689886674442e-16,0.0,0.0,0.0,7.525174492372497e-17,0.0,6.505055544139676e-17,0.014743589889223585,0.04030972667756635,0.014745786095303415,0.03964405684522238,0.020343010014623686,0.01636881248086588,0.012869453877324077,0.029440402261136336,0.0,0.0,0.0,2.6482985912531964e-16,-4.2085090322655764e-21,7.723099753601923e-19,0.0,1.6821116016602748e-16,0.025683051058841277,0.011145546527820457,0.02142519162561063,0.01228228586169886,,,0.030101771865944815,0.019885752821826273,5.1094604067714045e-06,0.00024028742017865372
STRUxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxSTRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
