[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.215056  1.464901
H     0.741536  4.378097,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.004693  2.730687
H     0.287843  4.814825,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  5.121761e-16
(TEMP, H)    -5.551115e-17  3.141501e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  5.121761e-16
(RH, H)      -5.551115e-17  3.141501e-16
(CO2, PPFD)   0.000000e+00  5.121761e-16
(CO2, H)     -5.551115e-17  3.141501e-16
(PPFD, H)     4.081949e-01  9.115359e+00]
