[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.219183  0.011988
H     0.783148  0.025423,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.216947  0.020821
H     0.780724  0.032912,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  5.509879e-17
(TEMP, H)     0.000000  1.293823e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  5.509879e-17
(RH, H)       0.000000  1.293823e-16
(CO2, PPFD)   0.000000  5.509879e-17
(CO2, H)      0.000000  1.293823e-16
(PPFD, H)     0.002512  4.144079e-02]
