[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350512  0.017198
PPFD  0.653947  0.025174
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.345979  0.025810
PPFD  0.649959  0.029724
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  9.947060e-17
(TEMP, PPFD)  0.000000  1.865465e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  9.947060e-17
(RH, PPFD)    0.000000  1.865465e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.003703  4.218688e-02
(CO2, H)      0.000130  3.244920e-02
(PPFD, H)     0.000024  4.769276e-02]
