[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.095447  0.062031
PPFD  0.530957  0.461354
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.085503  0.251282
PPFD  0.395333  0.458958
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  6.108628e-17
(TEMP, PPFD)  5.551115e-17  7.655139e-17
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  6.108628e-17
(RH, PPFD)    5.551115e-17  7.655139e-17
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   5.158694e-02  4.215165e-01
(CO2, H)      4.935916e-01  3.070313e-01
(PPFD, H)     7.543078e-01  1.008236e+00]
