[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350273  0.016144
PPFD  0.653879  0.026499
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.345751  0.025785
PPFD  0.648802  0.038060
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  1.162385e-16
(TEMP, PPFD)  0.000000  1.055873e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  1.162385e-16
(RH, PPFD)    0.000000  1.055873e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.005448  4.998903e-02
(CO2, H)      0.000696  3.774792e-02
(PPFD, H)     0.001356  5.320259e-02]
