[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130700  0.007402
PPFD  0.515782  0.023607
H     0.371210  0.018339,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123899  0.015152
PPFD  0.501722  0.030708
H     0.355460  0.026330,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.502017e-17
(TEMP, PPFD)  0.000000  1.031355e-16
(TEMP, H)     0.000000  1.134060e-16
(RH, CO2)     0.000000  3.502017e-17
(RH, PPFD)    0.000000  1.031355e-16
(RH, H)       0.000000  1.134060e-16
(CO2, PPFD)   0.004256  2.847767e-02
(CO2, H)      0.003517  2.791041e-02
(PPFD, H)     0.010118  5.691671e-02]
