[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128167  0.007392
PPFD  0.505680  0.019364
H     0.384250  0.017494,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121336  0.014107
PPFD  0.491343  0.030646
H     0.367982  0.025359,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.336512e-17
(TEMP, PPFD)  0.000000  1.084476e-16
(TEMP, H)     0.000000  8.511600e-17
(RH, CO2)     0.000000  4.336512e-17
(RH, PPFD)    0.000000  1.084476e-16
(RH, H)       0.000000  8.511600e-17
(CO2, PPFD)   0.004167  2.687795e-02
(CO2, H)      0.003597  2.229412e-02
(PPFD, H)     0.010488  5.857249e-02]
