[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.148453  0.340882
PPFD  0.894529  1.941447
H     0.332656  0.698114,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.105681  0.676098
PPFD  0.351245  1.689123
H    -0.011002  1.002083,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  2.526985e-16
(TEMP, PPFD)  0.000000e+00  2.988025e-16
(TEMP, H)     7.112366e-17  1.980400e-16
(RH, CO2)     0.000000e+00  2.526985e-16
(RH, PPFD)    0.000000e+00  2.988025e-16
(RH, H)       7.112366e-17  1.980400e-16
(CO2, PPFD)  -4.136090e-01  1.786374e+00
(CO2, H)      7.219540e-01  1.468384e+00
(PPFD, H)     1.644893e+00  3.876783e+00]
