[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.155830  0.105746
PPFD  0.440285  0.347049
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122814  0.259893
PPFD  0.342394  0.370543
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  5.753847e-18
(TEMP, PPFD)  0.000000  1.027464e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  5.753847e-18
(RH, PPFD)    0.000000  1.027464e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.108786  4.211273e-01
(CO2, H)      0.620660  4.290115e-01
(PPFD, H)     0.753594  7.063446e-01]
