[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128180  0.007319
PPFD  0.508007  0.023263
H     0.381116  0.015482,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121748  0.013555
PPFD  0.492408  0.031626
H     0.367090  0.022593,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.011744e-17
(TEMP, PPFD)  0.000000  1.141574e-16
(TEMP, H)     0.000000  6.722010e-17
(RH, CO2)     0.000000  4.011744e-17
(RH, PPFD)    0.000000  1.141574e-16
(RH, H)       0.000000  6.722010e-17
(CO2, PPFD)   0.004878  2.587274e-02
(CO2, H)      0.003830  2.424787e-02
(PPFD, H)     0.013732  5.436303e-02]
