[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.985075  0.029459
PPFD  0.015017  0.000869
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.985605  0.045539
PPFD  0.015308  0.005260
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  2.403169e-16
(TEMP, PPFD)  0.000000  1.683817e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  2.403169e-16
(RH, PPFD)    0.000000  1.683817e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -0.001090  7.166444e-02
(CO2, H)     -0.000816  7.127316e-02
(PPFD, H)    -0.000313  7.170587e-03]
