[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.202866  0.009946
PPFD  0.802820  0.028855
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.197139  0.017979
PPFD  0.797412  0.038639
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  6.089219e-17
(TEMP, PPFD)  0.000000e+00  1.382463e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  6.089219e-17
(RH, PPFD)    0.000000e+00  1.382463e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   4.864334e-03  3.602585e-02
(CO2, H)      6.170456e-05  2.673429e-02
(PPFD, H)     5.963698e-04  5.503442e-02]
