[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128905  0.007149
PPFD  0.508574  0.023195
H     0.380983  0.017867,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121783  0.015317
PPFD  0.493784  0.029333
H     0.365029  0.025046,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.917316e-17
(TEMP, PPFD)  0.000000  8.571095e-17
(TEMP, H)     0.000000  1.074229e-16
(RH, CO2)     0.000000  4.917316e-17
(RH, PPFD)    0.000000  8.571095e-17
(RH, H)       0.000000  1.074229e-16
(CO2, PPFD)   0.004870  2.661587e-02
(CO2, H)      0.003937  2.574737e-02
(PPFD, H)     0.011008  5.226771e-02]
