[            ST    ST_conf
TEMP  0.000000   0.000000
RH    0.000000   0.000000
CO2   0.139167   0.552719
PPFD  0.840536   4.822357
H     0.296813  11.724338,             S1    S1_conf
TEMP  0.000000   0.000000
RH    0.000000   0.000000
CO2   0.121729  14.447143
PPFD  0.400311  43.488934
H     0.080181  67.198297,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  1.110223e-16  1.566669e-14
(TEMP, H)     5.551115e-17  1.565959e-14
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    1.110223e-16  1.566669e-14
(RH, H)       5.551115e-17  1.565959e-14
(CO2, PPFD)  -3.911708e-01  2.416318e+01
(CO2, H)      6.676060e-01  3.166060e+01
(PPFD, H)     1.485300e+00  9.347010e+01]
