Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.33291635115740664,3.6303723990519594,-0.11705581735751025,0.31086936157957024,-0.11524540709209652,0.38067013169236047,0.0,0.0,0.0,0.0,-0.020410688456092327,0.2882521405819103,,,-0.01943664641480522,0.24180594104333245,-0.027253905206945706,0.16450534887681237,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33291635115740664,17.3763279853174,,,-0.11524540709209652,0.29669899511830156,,,0.0,0.0,-0.17913914796492925,0.2322444752463569,,,-0.13707388203458487,0.3926845713428249,-0.15256630947117,0.32018336483009163,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33291635115740664,3.0183480987422873,-0.11705581735751025,0.2983393870151203,-0.1152454070920963,0.38067754898472156,0.0,0.0,0.0,0.0,-0.12727244656311232,0.3582996773906004,,,-0.07574528555373147,0.3152476762119704,-0.032786174277306346,0.14395821435161332
TEMPxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.33291635115740664,3.6303723990519594,-0.040979881435326916,0.1162166906555275,-0.0403596537556362,0.1229100153376979,0.0,0.0,0.0,0.0,0.003913091728115936,0.4388856538476436,,,-0.009481560968583713,0.29643788003900434,-0.01373812320277468,0.11853726401338692,2.7755575615628914e-17,6.108628062266825e-17,0.0,1.7732080827738773e-16,,,0.0,3.565121003550846e-13,-1.3877787807814457e-17,6.334503854244447e-17,4.163336342344337e-17,6.114265387455893e-17,9.71445146547012e-17,1.3111066501887205e-16,-1.3877787807814457e-17,7.012498130097475e-17,0.0,2.5269852332670854e-16,-0.33291635115740664,17.3763279853174,,,-0.04035965375563613,0.10036000623871011,,,-2.7755575615628914e-17,1.2742207377356328e-16,-0.13121960079829903,0.1644596298138479,,,-0.09592936672180127,0.33801628239579196,-0.06406888314142897,0.0925281691688985,0.0,5.884654776316534e-17,0.0,1.7751709339974865e-16,,,0.0,5.753847455494878e-18,0.0,5.016360393182544e-13,2.7755575615628914e-17,1.0646521570686454e-16,2.7755575615628914e-17,9.317624576313491e-17,6.938893903907228e-17,1.7621064887125388e-14,0.0,0.0,-0.33291635115740664,3.0183480987422873,-0.040979881435326916,0.08886088594501364,-0.04035965375563659,0.11529869181927219,-1.3877787807814457e-17,3.437912144580288e-17,-1.3877787807814457e-17,8.281159769286921e-17,-0.09103906715464435,0.4666121936027866,,,-0.052817519320460464,0.289445181261472,-0.017974328986048654,0.10515510840915515
TEMPxPPFD,,,,,,,0.0,,,,-6.765421556309548e-17,2.258370528359053e-16,0.0,5.121761357048837e-16,,,-8.673617379884035e-19,1.8556085034362566e-16,-0.33291635115740664,3.6303723990519594,-0.040979881435326916,0.1162166906555275,-0.0403596537556362,0.1229100153376979,0.0,1.0483714418210135e-16,0.0,1.805260915362757e-16,0.01674684364541275,0.5244930884740988,,,-0.004649124845314434,0.3458537520317437,-0.013191166569021646,0.11701601175127906,5.551115123125783e-17,7.655138968481352e-17,0.0,1.4192897501707495e-16,,,0.0,8.818627415236983e-17,-1.1102230246251565e-16,5.016135971696665e-13,-5.551115123125783e-17,8.032192759716434e-17,0.0,9.929183619127855e-17,0.0,3.43441200725846e-17,0.0,2.9880254401433356e-16,-0.33291635115740664,17.3763279853174,,,-0.04035965375563613,0.10036000623871011,,,-5.551115123125783e-17,2.0144547876957613e-16,-0.13022050337306718,0.30469533909899765,,,-0.09479660825933711,0.39455750416845087,-0.06427891278637868,0.08602291119370488,1.1102230246251565e-16,2.5984077580312524e-16,0.0,1.223609526124756e-15,,,0.0,1.027463697533094e-16,5.551115123125783e-17,1.0032628349785442e-12,5.551115123125783e-17,3.2748028595813827e-16,-5.551115123125783e-17,2.5561751897204763e-16,0.0,1.7334671378549866e-16,1.1102230246251565e-16,1.566669253406062e-14,-0.33291635115740664,3.0183480987422873,-0.040979881435326916,0.08886088594501364,-0.04035965375563659,0.11529869181927219,0.0,1.12658927606712e-16,0.0,5.3053489864923354e-17,-0.08970785408230121,0.7034296793163715,,,-0.05252065285300822,0.7456233073576245,-0.018124918195852803,0.10326158460697557
TEMPxH,,,,,,,0.0,,,,-1.1102230246251565e-16,4.639055440262945e-16,-5.551115123125783e-17,3.1415007233541736e-16,,,-5.551115123125783e-17,2.402840795249128e-16,-0.33291635115740664,3.6303723990519594,-0.040979881435326916,0.1162166906555275,-0.0403596537556362,0.1229100153376979,0.0,0.0,-4.163336342344337e-17,5.249258337915303e-16,0.035806175765024456,0.607429449577959,,,0.005670755199703503,0.4118266617710204,-0.026920565423153076,0.14544080579987936,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.377642775528102e-17,1.9528400753281002e-16,-1.734723475976807e-17,4.3169125137155145e-17,0.0,1.942661309472221e-16,7.112366251504909e-17,1.980400123026895e-16,-0.33291635115740664,17.3763279853174,,,-0.04035965375563613,0.10036000623871011,,,0.0,0.0,-0.12655145287863853,0.17170664891132714,,,-0.09265670805429826,0.3328639797144496,-0.06339136750083085,0.09109625553179486,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.4660225384752098e-16,5.551115123125783e-17,2.509397336504089e-16,5.551115123125783e-17,1.926171226205325e-16,5.551115123125783e-17,1.565959414963769e-14,-0.33291635115740664,3.0183480987422873,-0.040979881435326916,0.08886088594501364,-0.04035965375563659,0.11529869181927219,0.0,0.0,-1.734723475976807e-17,8.746419303773887e-17,-0.07666048136011173,0.561403044994936,,,-0.044172613547376685,0.40112553535722706,-0.03291213455462999,0.12726981582284064
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.188576062561171,1.1947800616825868,0.18638689923366014,1.1331211046803624,0.0,0.0,0.0,0.0,0.15196601405965074,3.5791328977382464,,,-0.1232754185536297,5.276112716858929,0.16308374332410802,1.154412152011379,2.7755575615628914e-17,6.108628062266825e-17,0.0,1.7732080827738773e-16,,,0.0,3.565121003550846e-13,-1.3877787807814457e-17,6.334503854244447e-17,4.163336342344337e-17,6.114265387455893e-17,9.71445146547012e-17,1.3111066501887205e-16,-1.3877787807814457e-17,7.012498130097475e-17,0.0,2.5269852332670854e-16,0.0,0.0,,,0.18638689923366036,1.1187676372076976,,,-2.7755575615628914e-17,1.2742207377356328e-16,-0.6525830762299448,6.541458670530983,,,-0.6999603890621084,7.989225833414296,0.03307628287761403,0.7537713254918561,0.0,5.884654776316534e-17,0.0,1.7751709339974865e-16,,,0.0,5.753847455494878e-18,0.0,5.016360393182544e-13,2.7755575615628914e-17,1.0646521570686454e-16,2.7755575615628914e-17,9.317624576313491e-17,6.938893903907228e-17,1.7621064887125388e-14,0.0,0.0,0.0,0.0,0.188576062561171,1.013523485630695,0.1863868992336608,1.1309361580978536,-1.3877787807814457e-17,3.437912144580288e-17,-1.3877787807814457e-17,8.281159769286921e-17,-0.41643312839935664,4.782685257986259,,,-0.5081876918035279,17.51767615155214,0.15626246610648079,1.2267817161972714
RHxPPFD,,,,,,,0.0,,,,-6.765421556309548e-17,2.258370528359053e-16,0.0,5.121761357048837e-16,,,-8.673617379884035e-19,1.8556085034362566e-16,0.0,0.0,0.188576062561171,1.1947800616825868,0.18638689923366014,1.1331211046803624,0.0,1.0483714418210135e-16,0.0,1.805260915362757e-16,0.6985655139301458,4.4885079372503975,,,0.7935698369296803,4.334295855564257,0.2924127432049425,1.203627510879728,5.551115123125783e-17,7.655138968481352e-17,0.0,1.4192897501707495e-16,,,0.0,8.818627415236983e-17,-1.1102230246251565e-16,5.016135971696665e-13,-5.551115123125783e-17,8.032192759716434e-17,0.0,9.929183619127855e-17,0.0,3.43441200725846e-17,0.0,2.9880254401433356e-16,0.0,0.0,,,0.18638689923366036,1.1187676372076976,,,-5.551115123125783e-17,2.0144547876957613e-16,0.7416458628067866,17.563118935604848,,,1.8374025084765937,10.845383569535825,0.4492358337678841,0.9984427298729469,1.1102230246251565e-16,2.5984077580312524e-16,0.0,1.223609526124756e-15,,,0.0,1.027463697533094e-16,5.551115123125783e-17,1.0032628349785442e-12,5.551115123125783e-17,3.2748028595813827e-16,-5.551115123125783e-17,2.5561751897204763e-16,0.0,1.7334671378549866e-16,1.1102230246251565e-16,1.566669253406062e-14,0.0,0.0,0.188576062561171,1.013523485630695,0.1863868992336608,1.1309361580978536,0.0,1.12658927606712e-16,0.0,5.3053489864923354e-17,0.47157942059936625,10.819142465755615,,,1.0578502043646467,60.48310833149916,0.32323272135854475,1.3082608757833165
RHxH,,,,,,,0.0,,,,-1.1102230246251565e-16,4.639055440262945e-16,-5.551115123125783e-17,3.1415007233541736e-16,,,-5.551115123125783e-17,2.402840795249128e-16,0.0,0.0,0.188576062561171,1.1947800616825868,0.18638689923366014,1.1331211046803624,0.0,0.0,-4.163336342344337e-17,5.249258337915303e-16,0.8970213334607248,5.049018381089965,,,0.9945118833275933,4.57542899615807,-0.22770553448448033,1.2121659113006291,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.377642775528102e-17,1.9528400753281002e-16,-1.734723475976807e-17,4.3169125137155145e-17,0.0,1.942661309472221e-16,7.112366251504909e-17,1.980400123026895e-16,0.0,0.0,,,0.18638689923366036,1.1187676372076976,,,0.0,0.0,-0.4736314130112594,7.185956776693741,,,-0.39666071073652115,7.142001865253944,0.08510842401445773,0.7826162664430802,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.4660225384752098e-16,5.551115123125783e-17,2.509397336504089e-16,5.551115123125783e-17,1.926171226205325e-16,5.551115123125783e-17,1.565959414963769e-14,0.0,0.0,0.188576062561171,1.013523485630695,0.1863868992336608,1.1309361580978536,0.0,0.0,-1.734723475976807e-17,8.746419303773887e-17,-0.08150508918237813,6.545891227081812,,,0.001206725902683073,28.510354275178216,-0.3749312144292859,1.1705251698474781
