[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128167  0.007861
PPFD  0.505680  0.024225
H     0.384250  0.019195,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121336  0.014932
PPFD  0.491343  0.030798
H     0.367982  0.026935,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  5.607416e-17
(TEMP, PPFD)  0.000000  1.439245e-16
(TEMP, H)     0.000000  7.334470e-17
(RH, CO2)     0.000000  5.607416e-17
(RH, PPFD)    0.000000  1.439245e-16
(RH, H)       0.000000  7.334470e-17
(CO2, PPFD)   0.004167  2.662715e-02
(CO2, H)      0.003597  2.397003e-02
(PPFD, H)     0.010488  5.073800e-02]
