[            ST   ST_conf
TEMP  0.011435  0.000670
RH    0.432426  0.018520
CO2   0.000431  0.000024
PPFD  0.015309  0.000844
H     0.552230  0.023378,             S1   S1_conf
TEMP  0.011151  0.004530
RH    0.421291  0.025260
CO2   0.000371  0.000948
PPFD  0.014467  0.006500
H     0.543531  0.036653,                     S2   S2_conf
(TEMP, RH)    0.000144  0.008008
(TEMP, CO2)  -0.000005  0.006963
(TEMP, PPFD)  0.000060  0.007080
(TEMP, H)    -0.000067  0.008259
(RH, CO2)     0.001895  0.036531
(RH, PPFD)    0.002063  0.036756
(RH, H)       0.009542  0.047345
(CO2, PPFD)   0.000088  0.001317
(CO2, H)      0.000100  0.001682
(PPFD, H)     0.000770  0.010904]
