[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.190214  0.009380
PPFD  0.753428  0.028775
H     0.063896  0.003316,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.184671  0.018653
PPFD  0.746721  0.038949
H     0.061794  0.010938,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.673586e-17
(TEMP, PPFD)  0.000000  1.745599e-16
(TEMP, H)     0.000000  3.404828e-17
(RH, CO2)     0.000000  6.673586e-17
(RH, PPFD)    0.000000  1.745599e-16
(RH, H)       0.000000  3.404828e-17
(CO2, PPFD)   0.003628  3.420952e-02
(CO2, H)      0.000087  2.696266e-02
(PPFD, H)     0.002807  6.083627e-02]
