[            ST   ST_conf
TEMP  0.012342  0.000819
RH    0.465787  0.020242
CO2   0.007962  0.000487
PPFD  0.001847  0.000107
H     0.522766  0.023974,             S1   S1_conf
TEMP  0.011531  0.004925
RH    0.456471  0.024672
CO2   0.007873  0.003571
PPFD  0.001839  0.001794
H     0.510402  0.030050,                     S2   S2_conf
(TEMP, RH)    0.000426  0.008487
(TEMP, CO2)   0.000398  0.006912
(TEMP, PPFD)  0.000378  0.007022
(TEMP, H)     0.001110  0.008586
(RH, CO2)    -0.001830  0.037763
(RH, PPFD)   -0.001652  0.038338
(RH, H)       0.009478  0.048903
(CO2, PPFD)  -0.000390  0.005769
(CO2, H)     -0.000035  0.007047
(PPFD, H)    -0.000148  0.003292]
