[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.219175  0.008951
H     0.784031  0.030011,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.215097  0.017760
H     0.780767  0.037139,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  5.526942e-17
(TEMP, H)     0.000000  1.501854e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  5.526942e-17
(RH, H)       0.000000  1.501854e-16
(CO2, PPFD)   0.000000  5.526942e-17
(CO2, H)      0.000000  1.501854e-16
(PPFD, H)     0.005062  3.327857e-02]
