[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350475  0.018074
PPFD  0.653302  0.026051
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.346725  0.023709
PPFD  0.649365  0.036611
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  9.884355e-17
(TEMP, PPFD)  0.000000  8.121250e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  9.884355e-17
(RH, PPFD)    0.000000  8.121250e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.003749  4.119080e-02
(CO2, H)      0.000256  2.857222e-02
(PPFD, H)    -0.000067  4.991961e-02]
