[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130604  0.005868
PPFD  0.514611  0.022104
H     0.370077  0.019951,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123890  0.015945
PPFD  0.502398  0.030140
H     0.358554  0.025246,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.426483e-17
(TEMP, PPFD)  0.000000  1.281332e-16
(TEMP, H)     0.000000  1.128776e-16
(RH, CO2)     0.000000  4.426483e-17
(RH, PPFD)    0.000000  1.281332e-16
(RH, H)       0.000000  1.128776e-16
(CO2, PPFD)   0.004251  3.234323e-02
(CO2, H)      0.003906  2.305733e-02
(PPFD, H)     0.007479  4.745949e-02]
