[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130604  0.007331
PPFD  0.514611  0.023668
H     0.370077  0.017533,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123890  0.013100
PPFD  0.502398  0.034479
H     0.358554  0.022232,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.285809e-17
(TEMP, PPFD)  0.000000  7.809007e-17
(TEMP, H)     0.000000  9.080491e-17
(RH, CO2)     0.000000  4.285809e-17
(RH, PPFD)    0.000000  7.809007e-17
(RH, H)       0.000000  9.080491e-17
(CO2, PPFD)   0.004251  2.423501e-02
(CO2, H)      0.003906  2.401539e-02
(PPFD, H)     0.007479  6.005355e-02]
