[            ST   ST_conf
TEMP  0.010570  0.000585
RH    0.399726  0.019853
CO2   0.000231  0.000012
PPFD  0.008244  0.000528
H     0.590973  0.025823,             S1   S1_conf
TEMP  0.009823  0.004410
RH    0.391215  0.030054
CO2   0.000284  0.000713
PPFD  0.008279  0.003617
H     0.580074  0.028769,                     S2   S2_conf
(TEMP, RH)    0.000409  0.006594
(TEMP, CO2)   0.000379  0.005792
(TEMP, PPFD)  0.000376  0.005902
(TEMP, H)     0.001058  0.007813
(RH, CO2)    -0.001591  0.040497
(RH, PPFD)   -0.001559  0.040969
(RH, H)       0.008622  0.052646
(CO2, PPFD)  -0.000057  0.000904
(CO2, H)     -0.000075  0.001278
(PPFD, H)    -0.000304  0.006539]
