[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.202925  0.010268
PPFD  0.802011  0.029348
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.197848  0.019057
PPFD  0.796722  0.038893
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  7.031296e-17
(TEMP, PPFD)  0.000000  2.024680e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  7.031296e-17
(RH, PPFD)    0.000000  2.024680e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.004963  3.605968e-02
(CO2, H)      0.000333  2.882496e-02
(PPFD, H)     0.000109  5.484451e-02]
