[            ST   ST_conf
TEMP  0.007268  0.000443
RH    0.288716  0.014886
CO2   0.019340  0.001183
PPFD  0.691589  0.030160
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.006896  0.003853
RH    0.283880  0.025027
CO2   0.018985  0.005527
PPFD  0.685772  0.043029
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000443  0.006611
(TEMP, CO2)   0.000253  0.005557
(TEMP, PPFD)  0.000253  0.006958
(TEMP, H)     0.000234  0.005412
(RH, CO2)    -0.001953  0.036209
(RH, PPFD)    0.005748  0.047777
(RH, H)      -0.001946  0.035655
(CO2, PPFD)   0.000307  0.010511
(CO2, H)      0.000191  0.009053
(PPFD, H)    -0.002534  0.067156]
