[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128809  0.007200
PPFD  0.507311  0.023547
H     0.380506  0.016838,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122292  0.013462
PPFD  0.493994  0.028993
H     0.367984  0.025923,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.709278e-17
(TEMP, PPFD)  0.000000  8.921079e-17
(TEMP, H)     0.000000  7.268968e-17
(RH, CO2)     0.000000  3.709278e-17
(RH, PPFD)    0.000000  8.921079e-17
(RH, H)       0.000000  7.268968e-17
(CO2, PPFD)   0.003536  2.359516e-02
(CO2, H)      0.003781  2.493962e-02
(PPFD, H)     0.009280  6.155669e-02]
