[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.984714  0.030828
PPFD  0.015024  0.000850
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.984558  0.041304
PPFD  0.014973  0.005035
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.082711e-16
(TEMP, PPFD)  0.000000e+00  1.556214e-17
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  1.082711e-16
(RH, PPFD)    0.000000e+00  1.556214e-17
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   2.698186e-04  6.780028e-02
(CO2, H)      1.878275e-04  6.588137e-02
(PPFD, H)     1.463106e-07  7.328121e-03]
