[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128809  0.007063
PPFD  0.507311  0.023175
H     0.380506  0.019286,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122292  0.017956
PPFD  0.493994  0.033873
H     0.367984  0.027928,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.498161e-17
(TEMP, PPFD)  0.000000  9.342695e-17
(TEMP, H)     0.000000  1.028336e-16
(RH, CO2)     0.000000  4.498161e-17
(RH, PPFD)    0.000000  9.342695e-17
(RH, H)       0.000000  1.028336e-16
(CO2, PPFD)   0.003536  3.061243e-02
(CO2, H)      0.003781  2.953112e-02
(PPFD, H)     0.009280  5.659234e-02]
