[            ST   ST_conf
TEMP  0.011433  0.000683
RH    0.431690  0.019198
CO2   0.000430  0.000023
PPFD  0.015301  0.000843
H     0.551757  0.023309,             S1   S1_conf
TEMP  0.010653  0.004944
RH    0.422690  0.025733
CO2   0.000500  0.000795
PPFD  0.015044  0.004985
H     0.540010  0.029405,                     S2   S2_conf
(TEMP, RH)    0.000420  0.008288
(TEMP, CO2)   0.000382  0.006792
(TEMP, PPFD)  0.000378  0.006718
(TEMP, H)     0.001081  0.007958
(RH, CO2)    -0.001692  0.034230
(RH, PPFD)   -0.001641  0.034596
(RH, H)       0.009098  0.049722
(CO2, PPFD)  -0.000089  0.001326
(CO2, H)     -0.000105  0.001440
(PPFD, H)    -0.000077  0.008745]
