[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.202918  0.009651
PPFD  0.801982  0.030830
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.197848  0.019353
PPFD  0.796719  0.039550
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  7.375924e-17
(TEMP, PPFD)  0.000000  1.478585e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  7.375924e-17
(RH, PPFD)    0.000000  1.478585e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.004931  3.924585e-02
(CO2, H)      0.000328  2.717428e-02
(PPFD, H)     0.000087  5.817521e-02]
