[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128809  0.007653
PPFD  0.507311  0.024097
H     0.380506  0.017759,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122292  0.015372
PPFD  0.493994  0.035119
H     0.367984  0.025748,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.125875e-17
(TEMP, PPFD)  0.000000  9.066655e-17
(TEMP, H)     0.000000  6.546282e-17
(RH, CO2)     0.000000  3.125875e-17
(RH, PPFD)    0.000000  9.066655e-17
(RH, H)       0.000000  6.546282e-17
(CO2, PPFD)   0.003536  2.679397e-02
(CO2, H)      0.003781  2.460201e-02
(PPFD, H)     0.009280  5.948937e-02]
