[            ST   ST_conf
TEMP  0.006896  0.000424
RH    0.273332  0.014817
CO2   0.018409  0.001226
PPFD  0.655702  0.028698
H     0.052665  0.002816,             S1   S1_conf
TEMP  0.006619  0.003419
RH    0.269818  0.023741
CO2   0.018138  0.005837
PPFD  0.649603  0.033748
H     0.051044  0.009172,                     S2   S2_conf
(TEMP, RH)    0.000346  0.006362
(TEMP, CO2)   0.000224  0.005786
(TEMP, PPFD)  0.000212  0.006359
(TEMP, H)     0.000159  0.005933
(RH, CO2)    -0.002715  0.035733
(RH, PPFD)    0.003354  0.042374
(RH, H)      -0.002446  0.035071
(CO2, PPFD)   0.000220  0.010057
(CO2, H)      0.000159  0.008450
(PPFD, H)     0.000849  0.049186]
