Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0008703321785612506,0.05659728005802051,0.00044312842922156204,0.014109566411302807,0.00044153134138902317,0.012900224337860804,0.0,0.0,0.0,0.0,-0.0003374704019646346,0.006800954562816559,,,9.283554725669774e-05,0.007250683713487007,0.0004257393220238881,0.008618778029378538,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.0008703321785613616,0.06191970590113211,,,0.00044153134138891215,0.013311516989705164,,,0.0,0.0,-0.00044042690305856613,0.005720608548053272,,,0.00044312325523254703,0.0059667420727772934,0.00040896203494344974,0.006593987515902977,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008703321785612506,0.05872278716296575,0.00044312842922156204,0.012917479434768411,0.00044153134138891215,0.01584767346753699,0.0,0.0,0.0,0.0,-0.0005268453040652155,0.006301003712131492,,,0.0003456594894444276,0.006278212501016939,0.0004200963808031477,0.008112011497016704
TEMPxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0008703321785612506,0.05659728005802051,-4.127108823433548e-05,0.009521449197297997,-4.143709429862627e-05,0.009737894982476956,0.0,0.0,0.0,0.0,-0.0004735886565525038,0.007348260932537509,,,0.00017583742874027752,0.006875742577676825,0.00039752725565429976,0.007587199774314544,0.0,4.744681407045529e-17,0.0,1.2026288471501823e-16,,,0.0,9.469180708959787e-17,0.0,9.067314131899273e-17,0.0,4.833007127829347e-17,0.0,4.456097515873775e-17,,,,,-0.0008703321785613616,0.06191970590113211,,,-4.143709429863321e-05,0.009254016514070342,,,0.0,6.52684654918092e-17,-0.0006223092962274329,0.005510100777883395,,,0.0002534603614276175,0.005608255036395589,0.0003788889682943409,0.005792040193034489,2.7755575615628914e-17,6.954350409041177e-17,0.0,1.0827105763357578e-16,,,-5.551115123125783e-17,7.360507489731818e-17,-5.551115123125783e-17,8.595473890953983e-17,0.0,4.6443933491305746e-17,0.0,3.348084158844427e-17,1.3877787807814457e-17,5.1014080554853786e-17,0.0,3.215555524946177e-17,-0.0008703321785612506,0.05872278716296575,-4.127108823433548e-05,0.009952636162430775,-4.1437094298664434e-05,0.01159569055131172,0.0,6.099029492236042e-17,0.0,7.604206007928917e-17,-0.000719878264590787,0.005531722667680075,,,0.00022394798684008052,0.005513743722938398,0.0003822651672972764,0.007130883304519888
TEMPxPPFD,,,,,,,0.0,,,,0.0,5.2785177487873164e-17,1.3877787807814457e-17,5.4544665136267924e-17,,,-1.3877787807814457e-17,5.336248193518232e-17,-0.0008703321785612506,0.05659728005802051,-4.127108823433548e-05,0.009521449197297997,-4.143709429862627e-05,0.009737894982476956,-1.1102230246251565e-16,2.1521280795202564e-16,0.0,5.708131652961634e-17,-0.0004059214504848335,0.006067954115632094,,,-3.062136097800594e-05,0.006630644946766472,0.00037813870867600685,0.007504382425782012,0.0,1.167721649781434e-16,-1.734723475976807e-18,1.464651295532867e-17,,,1.1102230246251565e-16,2.0276310210378914e-16,0.0,1.0301948503749711e-16,0.0,9.017064665680301e-17,0.0,1.352559699852045e-16,,,,,-0.0008703321785613616,0.06191970590113211,,,-4.143709429863321e-05,0.009254016514070342,,,0.0,1.8519556612848748e-16,-0.00016314572687581297,0.007511988529871674,,,0.0002532430284255538,0.008531653457865242,0.00037578345806506437,0.005901660209933523,0.0,1.7599249311838974e-16,0.0,1.5562139839768028e-17,,,1.1102230246251565e-16,2.1395349323904224e-16,0.0,1.296776574775433e-16,0.0,1.1161530410911284e-16,0.0,7.584525334088488e-17,0.0,1.1705341471547513e-16,0.0,5.925005440843082e-17,-0.0008703321785612506,0.05872278716296575,-4.127108823433548e-05,0.009952636162430775,-4.1437094298664434e-05,0.01159569055131172,0.0,1.7933067200407197e-16,0.0,1.0934797073419023e-16,-0.0002644081775485807,0.008129913651454303,,,0.00021247448767458543,0.006759176393189058,0.0003783860867292571,0.00708661370386031
TEMPxH,,,,,,,0.0,,,,0.0,1.2608726694008403e-16,0.0,1.6283671567951916e-16,,,-1.1102230246251565e-16,2.3554273749173395e-16,-0.0008703321785612506,0.05659728005802051,-4.127108823433548e-05,0.009521449197297997,-4.143709429862627e-05,0.009737894982476956,0.0,0.0,0.0,1.2016341990210827e-16,-0.0006472329179782466,0.006522398918097216,,,-0.00011378142928242241,0.007131769430600994,0.0011095216685824694,0.009475302441827422,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8.327693346982396e-17,0.0,1.220148932874942e-16,,,,,-0.0008703321785613616,0.06191970590113211,,,-4.143709429863321e-05,0.009254016514070342,,,0.0,0.0,-0.0005525153868988775,0.005444919641634784,,,0.00023399325932293123,0.005432732115302537,0.0010584747340450784,0.007813406572647988,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.956671654335851e-17,0.0,7.169592139525317e-17,5.551115123125783e-17,9.532735082231567e-17,0.0,6.650478495937868e-17,-0.0008703321785612506,0.05872278716296575,-4.127108823433548e-05,0.009952636162430775,-4.1437094298664434e-05,0.01159569055131172,0.0,0.0,0.0,2.7566683604613665e-17,-0.0007416330148643027,0.005491405102876109,,,0.000159239021836087,0.005583557445896657,0.0010806253130741794,0.008572565078747013
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.00038969714299541547,0.05971744020267726,0.0003895726837477298,0.05281705998288749,0.0,0.0,0.0,0.0,0.005920661560693319,0.042972761322031254,,,-0.0009813958982958781,0.041036458943307146,-0.0018296394879822823,0.044104983813564244,0.0,4.744681407045529e-17,0.0,1.2026288471501823e-16,,,0.0,9.469180708959787e-17,0.0,9.067314131899273e-17,0.0,4.833007127829347e-17,0.0,4.456097515873775e-17,,,,,0.0,0.0,,,0.0003895726837477298,0.05938161326419518,,,0.0,6.52684654918092e-17,0.0027119044006633716,0.033817690301989674,,,-0.0019532674204539857,0.03477610654828753,-0.0015910974794600672,0.040496668659109156,2.7755575615628914e-17,6.954350409041177e-17,0.0,1.0827105763357578e-16,,,-5.551115123125783e-17,7.360507489731818e-17,-5.551115123125783e-17,8.595473890953983e-17,0.0,4.6443933491305746e-17,0.0,3.348084158844427e-17,1.3877787807814457e-17,5.1014080554853786e-17,0.0,3.215555524946177e-17,0.0,0.0,0.00038969714299541547,0.06145867583733781,0.0003895726837477298,0.0603506909875989,0.0,6.099029492236042e-17,0.0,7.604206007928917e-17,0.0028877640000412805,0.028921498077673916,,,-0.0027149145675381715,0.03552831684591178,-0.0016920418319522259,0.041458809018690514
RHxPPFD,,,,,,,0.0,,,,0.0,5.2785177487873164e-17,1.3877787807814457e-17,5.4544665136267924e-17,,,-1.3877787807814457e-17,5.336248193518232e-17,0.0,0.0,0.00038969714299541547,0.05971744020267726,0.0003895726837477298,0.05281705998288749,-1.1102230246251565e-16,2.1521280795202564e-16,0.0,5.708131652961634e-17,0.002443535240893552,0.037672135090305564,,,-0.0012977547112515142,0.03439474682303391,-0.001652067054502061,0.04465905502703627,0.0,1.167721649781434e-16,-1.734723475976807e-18,1.464651295532867e-17,,,1.1102230246251565e-16,2.0276310210378914e-16,0.0,1.0301948503749711e-16,0.0,9.017064665680301e-17,0.0,1.352559699852045e-16,,,,,0.0,0.0,,,0.0003895726837477298,0.05938161326419518,,,0.0,1.8519556612848748e-16,0.010985253296529995,0.04848589965257365,,,0.005747651416682764,0.044608818169983334,-0.0015592080793355306,0.040968707597845606,0.0,1.7599249311838974e-16,0.0,1.5562139839768028e-17,,,1.1102230246251565e-16,2.1395349323904224e-16,0.0,1.296776574775433e-16,0.0,1.1161530410911284e-16,0.0,7.584525334088488e-17,0.0,1.1705341471547513e-16,0.0,5.925005440843082e-17,0.0,0.0,0.00038969714299541547,0.06145867583733781,0.0003895726837477298,0.0603506909875989,0.0,1.7933067200407197e-16,0.0,1.0934797073419023e-16,0.010805508190640523,0.040075213057030906,,,0.003354119410477474,0.04776775990851796,-0.0016411393857228458,0.04297947172588728
RHxH,,,,,,,0.0,,,,0.0,1.2608726694008403e-16,0.0,1.6283671567951916e-16,,,-1.1102230246251565e-16,2.3554273749173395e-16,0.0,0.0,0.00038969714299541547,0.05971744020267726,0.0003895726837477298,0.05281705998288749,0.0,0.0,0.0,1.2016341990210827e-16,0.005288150004917835,0.03932015785751123,,,-0.0014492523101665156,0.04045171993083096,0.009478354517315157,0.05740311075482545,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8.327693346982396e-17,0.0,1.220148932874942e-16,,,,,0.0,0.0,,,0.0003895726837477298,0.05938161326419518,,,0.0,0.0,0.00257547858888324,0.03317706424136816,,,-0.0019459305649187075,0.03412037811188099,0.008621798081859922,0.05264584142365698,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.956671654335851e-17,0.0,7.169592139525317e-17,5.551115123125783e-17,9.532735082231567e-17,0.0,6.650478495937868e-17,0.0,0.0,0.00038969714299541547,0.06145867583733781,0.0003895726837477298,0.0603506909875989,0.0,0.0,0.0,2.7566683604613665e-17,0.0031448192344722195,0.029254436105810893,,,-0.0024462838947246976,0.03640825684705372,0.009098407350794036,0.053872413548060855
