Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,-1.4232853892335628,0.036122260602946474,-1.4970858127055686,0.03297178470853654,-1.5003663003662997,0.036129129853208194,-0.8456190711071435,0.05774494197391375,-0.45652472961729346,0.05216025549371803,-0.46054866655521215,0.0447815792841917,-0.46060735287521715,0.04479844095044361,-1.3694642729336464,0.040352704179450805,-1.3948421571452094,0.03216147044590179,-0.0006178016659599272,0.09567680655293807,-1.429332303065986,0.035495076787331756,-0.001102478376023397,0.017634468973518273,-1.409137900146248,0.04131331372250573,-0.740206993695275,0.053129675455583926,-0.6467473135701791,0.05245341967074359,,,-0.5816112111111904,0.04319017353869549,-0.015121983964030195,0.013285965174317162
TEMPxCO2,-1.4232853892335628,0.03612226060294647,-1.4970858127055686,0.03297178470853654,-1.5003663003662997,0.036129129853208194,-0.8456190711071435,0.05774494197391373,-0.4565247296172935,0.052160255493718034,-0.46054866655521215,0.044781579284191714,-0.4606073528752172,0.04479844095044361,-1.3694642729336464,0.0403527041794508,-1.3948421571452094,0.0321614704459018,-0.0006178016659599272,0.09567680655293807,-1.428866179355949,0.035231472330697976,-0.0006506820201452948,0.0124597110215626,-1.409137900146248,0.04131331372250574,-0.7402069936952751,0.05312967545558395,-0.6466512571775644,0.0525238249555511,,,-0.5822745347679216,0.04313179853247859,-0.015006209153488811,0.011209021487923135
TEMPxPPFD,-1.4232853892335628,0.03612226060294644,-1.4970858127055686,0.03297178470853653,-1.5003663003662993,0.03612912985320818,-0.8456190711071435,0.05774494197391376,-0.45652472961729346,0.052160255493718014,-0.46054866655521215,0.04478157928419169,-0.46060735287521726,0.0447984409504436,-1.3694642729336464,0.04035270417945077,-1.3948421571452094,0.03216147044590183,-0.0006178016659599272,0.09567680655293807,-1.428654620748104,0.03553015019938554,-0.0006506820201452818,0.012459711021562592,-1.409137900146248,0.04131331372250573,-0.740206993695275,0.0531296754555839,-0.6461744705183904,0.05331951654621906,,,-0.5822578320589529,0.04386725558955773,-0.015214731685506008,0.011613671456389592
TEMPxH,-1.4232853892335628,0.036122260602946474,-1.4970858127055686,0.03297178470853654,-1.5003663003662997,0.036129129853208194,-0.8456190711071435,0.05774494197391375,-0.45652472961729346,0.05216025549371803,-0.46054866655521215,0.04478157928419168,-0.46060735287521715,0.0447984409504436,-1.3694642729336464,0.040352704179450784,-1.3948421571452094,0.032161470445901806,-0.0006178016659599272,0.09567680655293807,-1.429324072988653,0.035531262112929014,-0.000650682020145285,0.012459711021562592,-1.409137900146248,0.04131331372250573,-0.740206993695275,0.05312967545558393,-0.646642983254474,0.0529118063368935,,,-0.5814478030108219,0.04325513127915625,-0.014518966319695403,0.012488988691465296
TEMPxSTRU,-1.4232853892335628,0.036122260602946474,-1.4970858127055686,0.03297178470853654,-1.5003663003662997,0.036129129853208194,-0.8456190711071435,0.05774494197391375,-0.45652472961729346,0.052160255493718034,-0.46054866655521215,0.044781579284191714,-0.46060735287521715,0.04479844095044361,-1.3694642729336464,0.0403527041794508,-1.3948421571452094,0.0321614704459018,-0.0006178016659599272,0.09567680655293807,-1.428866179355949,0.035231472330697976,-0.0006506820201452948,0.0124597110215626,-1.409137900146248,0.04131331372250574,-0.740206993695275,0.05312967545558393,-0.6460135526402284,0.052742000488117974,,,-0.5817072861296492,0.043265324980794245,-0.014787918878719388,0.011213459135139643
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,0.019076149717097927,0.05194033919694208,0.004212383291621729,0.051682883239396946,2.168404344971009e-19,0.054690924774424804,0.05756078518805033,0.0705769573357626,-0.01605437251179491,0.07022382638505091,0.028277908666250497,0.06151880588110563,0.028278858597370504,0.05744140650179452,0.004771240386736542,0.054384423892265686,-0.017676366355598237,0.05172311946477203,0.0,0.0,0.01917994219110112,0.06084366393579324,0.0012771887461124898,0.09070127681455892,-0.01157860237612886,0.06243225056429534,0.028658079042136547,0.05911856799240349,0.016496863668697168,0.05804874998907525,,,-0.025941094859670145,0.06414160721760008,-0.002701036377298702,0.061740916416129096
RHxPPFD,-1.4378597051687751,0.03790169857289888,-1.4960311275965545,0.033143886572438615,-1.5003663003662997,0.036129129853208194,-0.9702716196293025,0.05821375705553631,-0.6878567184537197,0.06564932468384078,-0.5352369233301404,0.05536435528086305,-0.5352983960955252,0.05738935499816203,-1.400728770482229,0.04494302127583665,-1.4035501120498168,0.039587606938659155,0.0,0.0,-1.4404637788265322,0.040978706902701355,0.0012771887461125028,0.09070127681455892,-1.439000815537372,0.047066219919012144,-0.8457985233460557,0.058417029997976995,-0.7155012931409781,0.058607046530157886,,,-0.6068635353182308,0.06313846497297897,-0.015755413209891163,0.06134641681031543
