[            ST  ST_conf
TEMP  0.000000  0.00000
RH    0.000000  0.00000
CO2   0.000000  0.00000
PPFD  0.587807  1.38839
H     0.000000  0.00000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.285189  5.665746
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  4.796376e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  4.796376e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.000000  4.796376e-17
(CO2, H)      0.000000  0.000000e+00
(PPFD, H)     0.605234  1.035950e+01]
