[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.207332  0.018507
PPFD  0.792365  0.061003
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.203032  0.042523
PPFD  0.789760  0.067815
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.282514e-17
(TEMP, PPFD)  0.000000  1.668981e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  6.282514e-17
(RH, PPFD)    0.000000  1.668981e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.002511  8.185280e-02
(CO2, H)      0.002200  5.923714e-02
(PPFD, H)     0.000631  1.014759e-01]
