[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.472855  0.702177
PPFD  0.347583  0.218722
H     0.505760  0.660946,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.223785  0.996695
PPFD  0.834689  0.546821
H     0.894094  1.168434,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   5.551115e-17  7.861465e-17
(TEMP, PPFD)  1.110223e-16  1.825947e-16
(TEMP, H)    -2.220446e-16  1.918551e-16
(RH, CO2)     5.551115e-17  7.861465e-17
(RH, PPFD)    1.110223e-16  1.825947e-16
(RH, H)      -2.220446e-16  1.918551e-16
(CO2, PPFD)   1.913299e-01  4.020595e-01
(CO2, H)      5.965732e-01  1.291859e-01
(PPFD, H)    -8.349479e-01  1.398657e+00]
