[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130292  0.013891
PPFD  0.513414  0.044057
H     0.369279  0.041154,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.124351  0.030416
PPFD  0.497945  0.068149
H     0.350580  0.049391,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   1.387779e-17  5.097891e-17
(TEMP, PPFD)  0.000000e+00  1.188779e-16
(TEMP, H)    -5.551115e-17  8.764225e-17
(RH, CO2)     1.387779e-17  5.097891e-17
(RH, PPFD)    0.000000e+00  1.188779e-16
(RH, H)      -5.551115e-17  8.764225e-17
(CO2, PPFD)   1.294683e-04  5.484794e-02
(CO2, H)     -6.273431e-04  4.642412e-02
(PPFD, H)     1.052231e-02  1.119419e-01]
