[            ST   ST_conf
TEMP  0.007194  0.000830
RH    0.288247  0.031735
CO2   0.019283  0.002238
PPFD  0.689882  0.052862
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.004748  0.007903
RH    0.281126  0.049807
CO2   0.020073  0.012338
PPFD  0.676053  0.078283
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.001618  0.013110
(TEMP, CO2)   0.002090  0.011320
(TEMP, PPFD)  0.004206  0.015663
(TEMP, H)     0.002122  0.011251
(RH, CO2)     0.000628  0.066229
(RH, PPFD)    0.005659  0.091190
(RH, H)       0.002247  0.066369
(CO2, PPFD)  -0.000456  0.024106
(CO2, H)     -0.000176  0.016033
(PPFD, H)     0.014921  0.113319]
