[            ST   ST_conf
TEMP  0.007829  0.000978
RH    0.288760  0.030096
CO2   0.022007  0.002572
PPFD  0.698752  0.063398
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.004766  0.008137
RH    0.282661  0.050717
CO2   0.021167  0.012487
PPFD  0.682820  0.068002
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.002246  0.013958
(TEMP, CO2)   0.002057  0.013732
(TEMP, PPFD)  0.006291  0.016922
(TEMP, H)     0.001946  0.013556
(RH, CO2)    -0.005978  0.062330
(RH, PPFD)    0.008555  0.095750
(RH, H)      -0.005255  0.061742
(CO2, PPFD)   0.000745  0.024282
(CO2, H)     -0.000238  0.019264
(PPFD, H)    -0.000162  0.099503]
