[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.987911  0.066524
PPFD  0.015046  0.001589
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.987365  0.099232
PPFD  0.014617  0.010859
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.555050e-16
(TEMP, PPFD)  1.734723e-18  1.602613e-17
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  1.555050e-16
(RH, PPFD)    1.734723e-18  1.602613e-17
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.507446e-03  1.247278e-01
(CO2, H)      1.469981e-03  1.259635e-01
(PPFD, H)     9.755939e-04  1.608263e-02]
