[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.632369  0.684922
PPFD  0.438848  0.437165
H     0.242507  0.396480,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.247258  0.973696
PPFD  0.904018  0.956786
H     0.546359  1.070225,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -5.551115e-17  6.827903e-17
(TEMP, PPFD)  0.000000e+00  4.373919e-17
(TEMP, H)     0.000000e+00  4.373919e-17
(RH, CO2)    -5.551115e-17  6.827903e-17
(RH, PPFD)    0.000000e+00  4.373919e-17
(RH, H)       0.000000e+00  4.373919e-17
(CO2, PPFD)   3.870537e-01  4.894129e-01
(CO2, H)      9.576810e-01  3.327986e-01
(PPFD, H)    -7.224616e-01  1.933611e+00]
