[            ST   ST_conf
TEMP  0.011518  0.001312
RH    0.433469  0.045719
CO2   0.000424  0.000048
PPFD  0.015385  0.001835
H     0.548319  0.047036,             S1   S1_conf
TEMP  0.011115  0.008807
RH    0.422299  0.060443
CO2   0.000530  0.001921
PPFD  0.014455  0.010860
H     0.537970  0.063711,                     S2   S2_conf
(TEMP, RH)   -0.000281  0.016005
(TEMP, CO2)  -0.000416  0.012820
(TEMP, PPFD)  0.000220  0.012640
(TEMP, H)    -0.000324  0.016090
(RH, CO2)     0.003743  0.080205
(RH, PPFD)    0.004328  0.082326
(RH, H)       0.013304  0.102268
(CO2, PPFD)  -0.000004  0.002699
(CO2, H)      0.000239  0.003266
(PPFD, H)     0.000408  0.020618]
