[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.203570  0.018211
PPFD  0.799159  0.066183
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.195845  0.038418
PPFD  0.794112  0.077873
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -2.775558e-17  5.768300e-17
(TEMP, PPFD)  0.000000e+00  1.301011e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -2.775558e-17  5.768300e-17
(RH, PPFD)    0.000000e+00  1.301011e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   4.656085e-03  7.899302e-02
(CO2, H)      1.868481e-03  5.791162e-02
(PPFD, H)    -1.439130e-03  1.239947e-01]
