[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128315  0.013506
PPFD  0.506130  0.046187
H     0.378725  0.036360,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122959  0.034347
PPFD  0.494308  0.059404
H     0.362977  0.047469,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  5.019596e-17
(TEMP, PPFD)  0.000000e+00  1.124691e-16
(TEMP, H)    -1.110223e-16  7.688648e-17
(RH, CO2)     0.000000e+00  5.019596e-17
(RH, PPFD)    0.000000e+00  1.124691e-16
(RH, H)      -1.110223e-16  7.688648e-17
(CO2, PPFD)  -1.415148e-03  5.771509e-02
(CO2, H)     -8.852458e-04  5.105210e-02
(PPFD, H)     4.603758e-03  1.104632e-01]
