[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128315  0.013596
PPFD  0.506130  0.041023
H     0.378725  0.042815,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122959  0.028613
PPFD  0.494308  0.056945
H     0.362977  0.049533,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.387779e-17  4.972854e-17
(TEMP, PPFD)  0.000000e+00  1.249585e-16
(TEMP, H)     0.000000e+00  1.087504e-16
(RH, CO2)    -1.387779e-17  4.972854e-17
(RH, PPFD)    0.000000e+00  1.249585e-16
(RH, H)       0.000000e+00  1.087504e-16
(CO2, PPFD)  -1.415148e-03  5.098872e-02
(CO2, H)     -8.852458e-04  4.800791e-02
(PPFD, H)     4.603758e-03  1.053842e-01]
