Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.02785384635386509,24.231408135380363,0.024085445100453295,0.1609435508840786,0.023763242764844428,0.16941487537180103,0.0,0.0,0.0,0.0,0.01774906135547638,0.043311785131966866,,,-0.0013806815965865527,0.04525208221450446,-0.019326939245133845,0.39445160066991025,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.02785384635386509,23.011624422751435,,,0.02376324276484376,0.15452541786675533,,,0.0,0.0,0.01583341000907612,0.013369039593713734,,,-0.00032011896145944796,0.026447665913909204,-0.01962960577728201,0.48378893395878103,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02785384635386509,24.104880698527143,0.024085445100453295,0.16361434745871747,0.02376324276484376,0.1484689348365704,0.0,0.0,0.0,0.0,0.009408209853879829,0.22425549577327783,,,0.0020380381149293914,0.12179466510564087,-0.020632888072012134,0.4492046768461598
TEMPxCO2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.02785384635386509,24.231408135380363,0.01277535674972206,0.08479150967565414,0.012722486087136515,0.09006521905689947,0.0,0.0,0.0,0.0,-0.015156399668298293,0.004722663439937727,,,-0.03190268618618408,0.011004071786426178,-0.010777697214703091,0.26687219836537657,0.0,7.472107777470584e-16,0.0,2.8990075313083674e-15,,,2.220446049250313e-16,6.560878244051415e-16,-1.1102230246251565e-16,3.626405392143515e-15,8.326672684688674e-17,1.2256732045414976e-16,5.551115123125783e-17,7.861465109931705e-17,,,,,-0.02785384635386509,23.011624422751435,,,0.012722486087135934,0.08246313550037944,,,0.0,0.0,0.0020784823331389396,0.1570221429392637,,,-0.013203334935181416,0.09080680003600262,-0.008522582085941779,0.31247617260794674,1.1102230246251565e-16,3.2197360972749266e-16,0.0,3.069680926383844e-15,,,0.0,4.080657645760095e-15,-1.1102230246251565e-16,6.774492891695521e-16,-5.551115123125783e-17,6.827903043077654e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.02785384635386509,24.104880698527143,0.01277535674972206,0.08573562501274283,0.012722486087135934,0.07890964357270934,1.1102230246251565e-16,3.5108021771251907e-16,-1.6653345369377348e-16,2.6468848037017563e-15,-0.003234323351824643,0.4093342658499287,,,-0.002987279813569721,0.2693683499990869,-0.008496897438358707,0.28119330973380846
TEMPxPPFD,,,,,,,,,,,3.469446951953614e-17,2.8286087943433484e-13,3.469446951953614e-17,1.0148909031197e-13,,,-3.469446951953614e-17,1.4530139489691782e-13,-0.02785384635386509,24.231408135380363,0.01277535674972206,0.08479150967565414,0.012722486087136515,0.09006521905689947,0.0,4.796376447474756e-17,-2.7755575615628914e-17,9.821326400258808e-14,0.020801795556391327,0.047300028439086206,,,0.0026689745473018594,0.05421812505794132,-0.006689434818787471,0.24884731310878844,-2.7755575615628914e-17,1.694858272473944e-16,2.7755575615628914e-17,1.0644793279022913e-15,,,2.7755575615628914e-17,2.7336992683547558e-17,2.7755575615628914e-17,1.8486842159837946e-16,0.0,0.0,1.1102230246251565e-16,1.8259474093564732e-16,,,,,-0.02785384635386509,23.011624422751435,,,0.012722486087135934,0.08246313550037944,,,0.0,8.964293020374543e-16,0.03709562203904626,0.2671020136860734,,,0.032184581975100574,0.1694460915712986,-0.006392029674009348,0.30572904312351884,-2.7755575615628914e-17,1.8627307259976374e-16,2.7755575615628914e-17,1.1271484651565675e-15,,,-2.7755575615628914e-17,3.248471254702763e-15,2.7755575615628914e-17,1.6936232229238804e-16,0.0,4.3739188293676095e-17,2.220446049250313e-16,2.183019338471563e-16,0.0,0.0,0.0,0.0,-0.02785384635386509,24.104880698527143,0.01277535674972206,0.08573562501274283,0.012722486087135934,0.07890964357270934,0.0,9.014412197711253e-16,-9.71445146547012e-17,2.6792881933774422e-15,0.01950042791724038,0.5403125421380981,,,0.02654723978374325,0.3704029898305971,-0.005366667389938892,0.27156734689621126
TEMPxH,,,,,,,,,,,0.0,9.4243186270451e-14,5.551115123125783e-17,4.0643398719433237e-13,,,-5.551115123125783e-17,2.908823263538273e-13,-0.02785384635386509,24.231408135380363,0.01277535674972206,0.08479150967565414,0.012722486087136515,0.09006521905689947,0.0,0.0,5.551115123125783e-17,1.1750006992759269e-14,0.003955066412748634,0.07851782825538399,,,-0.010867976251993275,0.08637191598631574,-0.003200312400327421,0.2751669404321749,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,1.9185505789899022e-16,,,,,-0.02785384635386509,23.011624422751435,,,0.012722486087135934,0.08246313550037944,,,0.0,0.0,0.0069761617325554744,0.22030453815740592,,,-0.004559174616715357,0.1358280321696771,-0.003668653736157934,0.339889293668758,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.3739188293676095e-17,-1.1102230246251565e-16,1.4027340570519867e-16,0.0,7.585904643228883e-17,-1.1102230246251565e-16,1.9941319665286415e-16,-0.02785384635386509,24.104880698527143,0.01277535674972206,0.08573562501274283,0.012722486087135934,0.07890964357270934,0.0,0.0,-2.7755575615628914e-17,1.398517797589467e-15,-0.003609610624315876,0.492586616090182,,,0.0018183385905769537,0.33704338500704745,-0.002824247105993938,0.30338184641356114
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.202553399184436,0.18540649852128782,1.2105905495719445,0.18440267665607327,0.0,0.0,0.0,0.0,-0.04729709136939231,0.7021553504599061,,,-0.12537694456019788,1.0860877696411515,-1.525731632759833,2.7647304615604096,0.0,7.472107777470584e-16,0.0,2.8990075313083674e-15,,,2.220446049250313e-16,6.560878244051415e-16,-1.1102230246251565e-16,3.626405392143515e-15,8.326672684688674e-17,1.2256732045414976e-16,5.551115123125783e-17,7.861465109931705e-17,,,,,0.0,0.0,,,1.2105905495719431,0.18676779016008954,,,0.0,0.0,0.8545277225854861,1.990994002789682,,,0.9872338916223284,0.7590311653232196,-1.4835774252679823,3.3598169416437065,1.1102230246251565e-16,3.2197360972749266e-16,0.0,3.069680926383844e-15,,,0.0,4.080657645760095e-15,-1.1102230246251565e-16,6.774492891695521e-16,-5.551115123125783e-17,6.827903043077654e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.202553399184436,0.17335278565952517,1.2105905495719431,0.17379601188726107,1.1102230246251565e-16,3.5108021771251907e-16,-1.6653345369377348e-16,2.6468848037017563e-15,1.203281138274547,6.1712162942088735,,,1.3706644652734183,3.162845933661966,-1.539116706414287,3.16726295247342
RHxPPFD,,,,,,,,,,,3.469446951953614e-17,2.8286087943433484e-13,3.469446951953614e-17,1.0148909031197e-13,,,-3.469446951953614e-17,1.4530139489691782e-13,0.0,0.0,1.202553399184436,0.18540649852128782,1.2105905495719445,0.18440267665607327,0.0,4.796376447474756e-17,-2.7755575615628914e-17,9.821326400258808e-14,0.7078886205819714,0.09435040576322286,,,0.6681645220908937,0.39983815932505534,-1.445998203946813,2.536660575117068,-2.7755575615628914e-17,1.694858272473944e-16,2.7755575615628914e-17,1.0644793279022913e-15,,,2.7755575615628914e-17,2.7336992683547558e-17,2.7755575615628914e-17,1.8486842159837946e-16,0.0,0.0,1.1102230246251565e-16,1.8259474093564732e-16,,,,,0.0,0.0,,,1.2105905495719431,0.18676779016008954,,,0.0,8.964293020374543e-16,0.6232947752683964,4.96373350700579,,,1.0439346821674262,3.1939389365404924,-1.470516136519295,3.2315038776064866,-2.7755575615628914e-17,1.8627307259976374e-16,2.7755575615628914e-17,1.1271484651565675e-15,,,-2.7755575615628914e-17,3.248471254702763e-15,2.7755575615628914e-17,1.6936232229238804e-16,0.0,4.3739188293676095e-17,2.220446049250313e-16,2.183019338471563e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.202553399184436,0.17335278565952517,1.2105905495719431,0.17379601188726107,0.0,9.014412197711253e-16,-9.71445146547012e-17,2.6792881933774422e-15,0.9884485019617419,9.379315046394298,,,1.4587142795144343,5.983577330706766,-1.5183134480223086,2.9747349422981335
RHxH,,,,,,,,,,,0.0,9.4243186270451e-14,5.551115123125783e-17,4.0643398719433237e-13,,,-5.551115123125783e-17,2.908823263538273e-13,0.0,0.0,1.202553399184436,0.18540649852128782,1.2105905495719445,0.18440267665607327,0.0,0.0,5.551115123125783e-17,1.1750006992759269e-14,1.1325429522891366,0.9224125694441773,,,0.9345060297014041,1.2267902357578133,-1.6362407231413787,2.7758542892557205,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,1.9185505789899022e-16,,,,,0.0,0.0,,,1.2105905495719431,0.18676779016008954,,,0.0,0.0,1.0669392849394947,3.0122804833548313,,,1.2787772392273598,1.5764198879663796,-1.6757749128139396,3.4771972914942846,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.3739188293676095e-17,-1.1102230246251565e-16,1.4027340570519867e-16,0.0,7.585904643228883e-17,-1.1102230246251565e-16,1.9941319665286415e-16,0.0,0.0,1.202553399184436,0.17335278565952517,1.2105905495719431,0.17379601188726107,0.0,0.0,-2.7755575615628914e-17,1.398517797589467e-15,1.4331989169626886,7.386039651770254,,,1.642795125381361,4.242154976245739,-1.7403414013296012,3.190772462889868
