,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0,29,18.528179933906564,0.93,0.03274944839338806,0.05239911742942089,0.05634313702088267,0.625,1.1891192223105307,35.70330464987369,541.2171786517389,514.1375598358734,1.2842487600953731,2.4640917439663257,124.56934206879288,-122.10525032482656,28.52397990645932,20.266207529302854,54.42385594506671,2.5,2.3902042053154053,-3478.4589289101978,20.822887062563154,15.822887062563154,50.55385716616209,485.1265073350598,544.3599302007283
1,1,29,18.528179933906564,0.93,0.03274944839338806,0.05239911742942089,0.05634313702088267,0.625,1.1891192223105307,35.70330464987369,541.2171786517389,514.1375598358734,1.2842487600953731,2.6394388661957526,133.43381544047688,-130.79437657428113,28.52397990645932,20.266207529302854,58.330149536382926,2.5,2.3972548966649865,-3736.9804168746896,21.94362957642897,16.94362957642897,50.55385716616209,485.1265073350598,544.3599302007283
2,2,29,18.528179933906564,0.93,0.03274944839338806,0.05239911742942089,0.05634313702088267,0.625,1.1891192223105307,35.70330464987369,541.2171786517389,514.1375598358734,1.2842487600953731,2.4640917439663257,142.5421866789912,-140.07809493502486,28.52397990645932,20.266207529302854,62.337470816459344,2.5,2.403605123375457,-4012.8311233678446,20.822887062563154,15.822887062563154,57.84775953575013,485.1265073350598,544.3599302007283
3,3,29,18.528179933906564,0.93,0.035157700718271366,0.05625232114923418,0.06048636682713353,0.625,1.2765618899638564,38.328770746164786,611.5627317092897,580.9613793209558,1.378686841160965,2.4640917439663257,124.56934206879288,-122.10525032482656,30.62150961442607,21.756496489677065,43.656925573386275,2.5,2.3645923678330147,-3441.1860780892102,20.822887062563154,15.822887062563154,50.55385716616209,649.2435452433178,544.3599302007283
4,4,29,18.528179933906564,0.93,0.034764771727800535,0.05562363476448085,0.05981035996180736,0.625,0.826036161211872,24.801735740386455,241.94939586927825,229.84605902964236,0.8921190541088218,2.4640917439663257,124.56934206879288,-122.10525032482656,19.814530303054177,14.078168072416176,37.806194870736725,2.5,2.3449369874768893,-3412.5816462382213,20.822887062563154,15.822887062563154,50.55385716616209,485.1265073350598,356.2250181411551
5,5,29,17.5913341780593,0.93,0.03274944839338806,0.05239911742942089,0.05634313702088267,0.625,1.1289934409012423,33.8980280630598,513.8514568906044,488.14107272423524,1.2193129161733418,2.4640917439663257,124.56934206879288,-122.10525032482656,28.52397990645932,20.68374767797847,55.545138497312706,2.5,2.3923251772361716,-3305.5071722604607,20.822887062563154,15.822887062563154,50.55385716616209,485.1265073350598,544.3599302007283
6,6,29,17.5913341780593,0.93,0.03732826638238256,0.0597252262118121,0.06422067334603451,0.625,0.8420997095664129,25.284043779731547,273.09980877476886,259.4379686861101,0.909467686331726,2.4640917439663257,142.5421866789912,-140.07809493502486,21.275619790787356,15.4277051410206,35.458910445047565,2.5,2.3353482772102216,-3701.7359668528848,20.822887062563154,15.822887062563154,57.84775953575013,649.2435452433178,356.2250181411551
7,7,29,17.5913341780593,0.93,0.03732826638238256,0.0597252262118121,0.06422067334603451,0.625,0.8420997095664129,25.284043779731547,273.09980877476886,259.4379686861101,0.909467686331726,2.6394388661957526,133.43381544047688,-130.79437657428113,21.275619790787356,15.4277051410206,33.17945886426183,2.5,2.3248291818612676,-3440.833637126805,21.94362957642897,16.94362957642897,50.55385716616209,649.2435452433178,356.2250181411551
8,8,29,17.5913341780593,0.93,0.034764771727800535,0.05562363476448085,0.05981035996180736,0.625,0.7842690543201942,23.547678355963832,229.7156381306059,218.2242858350672,0.8470105786658099,2.6394388661957526,152.68562484100485,-150.0461859748091,19.814530303054177,14.368217425830604,47.364369102728986,2.5,2.3746600004679905,-4031.901856884951,21.94362957642897,16.94362957642897,57.84775953575013,485.1265073350598,356.2250181411551
9,9,29,17.5913341780593,0.93,0.035157700718271366,0.05625232114923418,0.06048636682713353,0.625,1.2120147194940556,36.390741952809016,580.6401072701926,551.5860599712124,1.30897589705358,2.6394388661957526,152.68562484100485,-150.0461859748091,30.62150961442607,22.204740729050684,54.69428340562171,2.5,2.3907233445749285,-4059.1755831951514,21.94362957642897,16.94362957642897,57.84775953575013,649.2435452433178,544.3599302007283
