[            ST  ST_conf
TEMP  0.000000  0.00000
RH    0.000000  0.00000
CO2   0.000000  0.00000
PPFD  0.960698  0.24574
H     0.000000  0.00000,             S1  S1_conf
TEMP  0.000000  0.00000
RH    0.000000  0.00000
CO2   0.000000  0.00000
PPFD  0.961968  0.32298
H     0.000000  0.00000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.330275e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.330275e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.000000  1.330275e-16
(CO2, H)      0.000000  0.000000e+00
(PPFD, H)    -0.002541  4.276861e-01]
